group,model,rmse,mae,mape,file_index
NCACY45-05_1,IMOE,0.022661434,0.017551394,0.616943277,0
NCACY45-05_1,IMOE,0.01762242,0.009735535,0.342612551,1
NCACY45-05_1,IMOE,0.016924279,0.009407061,0.330009405,2
NCACY45-05_1,IMOE,0.020263987,0.015040904,0.53135124,3
NCACY45-05_1,IMOE,0.01848201,0.01122864,0.392545899,4
NCACY45-05_1,IMOE,0.016930556,0.009837625,0.345489918,5
NCACY45-05_1,IMOE,0.024056157,0.018154738,0.63994918,6
NCACY45-05_1,IMOE,0.025307145,0.020168912,0.715661934,7
NCACY45-05_1,IMOE,0.016990306,0.010259912,0.362008694,8
NCACY45-05_1,IMOE,0.0231882,0.018098058,0.63740192,9
NCACY45-05_1,PATCHTST,0.020357547,0.011008395,0.391218066,0
NCACY45-05_1,PATCHTST,0.018916843,0.013554915,0.476861186,1
NCACY45-05_1,PATCHTST,0.026658058,0.017431406,0.613041176,2
NCACY45-05_1,PATCHTST,0.027136112,0.021607324,0.763377408,3
NCACY45-05_1,PATCHTST,0.018956639,0.011162263,0.39676358,4
NCACY45-05_1,PATCHTST,0.021468561,0.011322877,0.401627459,5
NCACY45-05_1,PATCHTST,0.01824321,0.009669625,0.340314163,6
NCACY45-05_1,PATCHTST,0.025953554,0.014460901,0.517935771,7
NCACY45-05_1,PATCHTST,0.018186422,0.009959744,0.350093795,8
NCACY45-05_1,PATCHTST,0.020419424,0.012029448,0.428491831,9
NCACY45-05_1,Informer,0.047001887,0.043105602,1.531854738,0
NCACY45-05_1,Informer,0.02113737,0.01610856,0.574471708,1
NCACY45-05_1,Informer,0.04300049,0.035505027,1.23718679,2
NCACY45-05_1,Informer,0.04254896,0.033795808,1.163476519,3
NCACY45-05_1,Informer,0.026388764,0.020537809,0.71820193,4
NCACY45-05_1,Informer,0.031308033,0.024506573,0.849667192,5
NCACY45-05_1,Informer,0.029851362,0.024953278,0.880910549,6
NCACY45-05_1,Informer,0.048469067,0.043840177,1.544304378,7
NCACY45-05_1,Informer,0.14016828,0.13866249,4.928633571,8
NCACY45-05_1,Informer,0.04846461,0.04174506,1.450668927,9
NCACY35-05_1,IMOE,0.007097032,0.00466842,0.15885249,0
NCACY35-05_1,IMOE,0.012941948,0.008750942,0.297737867,1
NCACY35-05_1,IMOE,0.010510056,0.0095114,0.328294374,2
NCACY35-05_1,IMOE,0.008320065,0.005953178,0.203600619,3
NCACY35-05_1,IMOE,0.011334979,0.009971174,0.344782975,4
NCACY35-05_1,IMOE,0.010562725,0.009189289,0.316204992,5
NCACY35-05_1,IMOE,0.007715577,0.00468888,0.158727064,6
NCACY35-05_1,IMOE,0.010190164,0.007577582,0.258165482,7
NCACY35-05_1,IMOE,0.01073807,0.009112501,0.313104596,8
NCACY35-05_1,IMOE,0.008710798,0.005479473,0.186084851,9
NCACY35-05_1,PATCHTST,0.033129774,0.029316453,1.015441865,0
NCACY35-05_1,PATCHTST,0.026046783,0.02252654,0.785499811,1
NCACY35-05_1,PATCHTST,0.013931475,0.010742218,0.375118782,2
NCACY35-05_1,PATCHTST,0.014410888,0.011440228,0.396090047,3
NCACY35-05_1,PATCHTST,0.019051062,0.01592664,0.552387116,4
NCACY35-05_1,PATCHTST,0.037314177,0.033619545,1.162287034,5
NCACY35-05_1,PATCHTST,0.02420498,0.020747578,0.717896037,6
NCACY35-05_1,PATCHTST,0.025260156,0.019781843,0.69257482,7
NCACY35-05_1,PATCHTST,0.01870187,0.014562956,0.502458448,8
NCACY35-05_1,PATCHTST,0.0219342,0.01792875,0.620912528,9
NCACY35-05_1,Informer,0.13854331,0.13751692,4.798072204,0
NCACY35-05_1,Informer,0.02318133,0.01972185,0.686052302,1
NCACY35-05_1,Informer,0.075581044,0.073412806,2.562765218,2
NCACY35-05_1,Informer,0.030171428,0.025364054,0.876121875,3
NCACY35-05_1,Informer,0.04742046,0.043886576,1.517829578,4
NCACY35-05_1,Informer,0.02292069,0.019314675,0.668301992,5
NCACY35-05_1,Informer,0.064995684,0.060612634,2.130892314,6
NCACY35-05_1,Informer,0.03120429,0.026392054,0.907327048,7
NCACY35-05_1,Informer,0.030169593,0.02384381,0.837105513,8
NCACY35-05_1,Informer,0.041306503,0.03435502,1.185653824,9
NCACY25-025_1,IMOE,0.031812,0.023331435,0.808550417,0
NCACY25-025_1,IMOE,0.03202297,0.024743238,0.865126029,1
NCACY25-025_1,IMOE,0.030354992,0.024125256,0.844400842,2
NCACY25-025_1,IMOE,0.030080767,0.023846216,0.829434674,3
