Group,Model,MAPE
NCACY45-05_1,ex3,0.4542469
NCACY45-05_1,ex3,0.40395358
NCACY45-05_1,ex3,0.39420623
NCACY45-05_1,ex3,0.9320871
NCACY45-05_1,ex3,0.37387583
NCACY45-05_1,ex3,0.33858028
NCACY45-05_1,ex3,0.4483459
NCACY45-05_1,ex3,0.40786827
NCACY45-05_1,ex3,0.44223955
NCACY45-05_1,ex3,0.3581338
NCACY45-05_1,ex4,0.498094
NCACY45-05_1,ex4,0.35755345
NCACY45-05_1,ex4,0.41471305
NCACY45-05_1,ex4,0.5237034
NCACY45-05_1,ex4,0.6577497
NCACY45-05_1,ex4,0.35163456
NCACY45-05_1,ex4,0.44008982
NCACY45-05_1,ex4,0.38530746
NCACY45-05_1,ex4,0.33677757
NCACY45-05_1,ex4,0.3422865
NCACY45-05_1,ex5,0.6169433
NCACY45-05_1,ex5,0.34261256
NCACY45-05_1,ex5,0.3300094
NCACY45-05_1,ex5,0.53135127
NCACY45-05_1,ex5,0.3925459
NCACY45-05_1,ex5,0.34548992
NCACY45-05_1,ex5,0.6399492
NCACY45-05_1,ex5,0.71566194
NCACY45-05_1,ex5,0.3620087
NCACY45-05_1,ex5,0.63740194
NCACY45-05_1,ex6,0.44194758
NCACY45-05_1,ex6,0.42139623
NCACY45-05_1,ex6,0.49432558
NCACY45-05_1,ex6,0.34570864
NCACY45-05_1,ex6,0.41259634
NCACY45-05_1,ex6,0.34508955
NCACY45-05_1,ex6,0.7423465
NCACY45-05_1,ex6,0.49495274
NCACY45-05_1,ex6,0.44403997
NCACY45-05_1,ex6,0.39300704
NCACY45-05_1,ex7,0.33065736
NCACY45-05_1,ex7,0.3891177
NCACY45-05_1,ex7,0.74220574
NCACY45-05_1,ex7,0.4315258
NCACY45-05_1,ex7,0.45746347
NCACY45-05_1,ex7,0.4246375
NCACY45-05_1,ex7,0.3614901
NCACY45-05_1,ex7,0.54599035
NCACY45-05_1,ex7,0.48866338
NCACY45-05_1,ex7,0.44476482
NCACY35-05_1,ex3,0.47094756
NCACY35-05_1,ex3,0.4424673
NCACY35-05_1,ex3,0.33747172
NCACY35-05_1,ex3,0.51815826
NCACY35-05_1,ex3,0.58220446
NCACY35-05_1,ex3,0.35663646
NCACY35-05_1,ex3,0.4220783
NCACY35-05_1,ex3,0.55996335
NCACY35-05_1,ex3,0.44562826
NCACY35-05_1,ex3,0.32121864
NCACY35-05_1,ex4,0.40778852
NCACY35-05_1,ex4,0.39633432
NCACY35-05_1,ex4,0.38603774
NCACY35-05_1,ex4,0.47007316
NCACY35-05_1,ex4,0.58449036
NCACY35-05_1,ex4,0.48079634
NCACY35-05_1,ex4,0.41939473
NCACY35-05_1,ex4,0.617692
NCACY35-05_1,ex4,0.3869843
NCACY35-05_1,ex4,0.59070784
NCACY35-05_1,ex5,0.15885249
NCACY35-05_1,ex5,0.29773787
NCACY35-05_1,ex5,0.32829437
NCACY35-05_1,ex5,0.20360062
NCACY35-05_1,ex5,0.34478298
NCACY35-05_1,ex5,0.316205
NCACY35-05_1,ex5,0.15872706
NCACY35-05_1,ex5,0.25816548
NCACY35-05_1,ex5,0.3131046
NCACY35-05_1,ex5,0.18608485
NCACY35-05_1,ex6,0.71520466
NCACY35-05_1,ex6,0.36990985
NCACY35-05_1,ex6,1.0315429
NCACY35-05_1,ex6,0.33510575
NCACY35-05_1,ex6,0.5741668
NCACY35-05_1,ex6,0.5083559
NCACY35-05_1,ex6,0.3961226
NCACY35-05_1,ex6,0.42740604
NCACY35-05_1,ex6,0.63309383
NCACY35-05_1,ex6,0.3483936
NCACY35-05_1,ex7,0.3655917
NCACY35-05_1,ex7,0.39266333
NCACY35-05_1,ex7,0.37844756
NCACY35-05_1,ex7,0.4527293
NCACY35-05_1,ex7,0.5566377
NCACY35-05_1,ex7,0.45550674
NCACY35-05_1,ex7,0.36154214
NCACY35-05_1,ex7,0.35100734
NCACY35-05_1,ex7,0.56974006
