Model,Condition,MAPE
pre30,NCACY45-05_1,0.29098
pre30,NCACY45-05_1,0.32317
pre30,NCACY45-05_1,0.35573
pre30,NCACY45-05_1,0.33792
pre30,NCACY45-05_1,0.4045
pre30,NCACY45-05_1,0.32519
pre30,NCACY45-05_1,0.33357
pre30,NCACY45-05_1,0.33136
pre30,NCACY45-05_1,0.45344
pre30,NCACY45-05_1,0.29887
pre50,NCACY45-05_1,0.61694
pre50,NCACY45-05_1,0.34261
pre50,NCACY45-05_1,0.33001
pre50,NCACY45-05_1,0.53135
pre50,NCACY45-05_1,0.39255
pre50,NCACY45-05_1,0.34549
pre50,NCACY45-05_1,0.63995
pre50,NCACY45-05_1,0.71566
pre50,NCACY45-05_1,0.36201
pre50,NCACY45-05_1,0.6374
pre80,NCACY45-05_1,0.45709
pre80,NCACY45-05_1,0.42
pre80,NCACY45-05_1,0.55728
pre80,NCACY45-05_1,0.40928
pre80,NCACY45-05_1,0.80225
pre80,NCACY45-05_1,0.49675
pre80,NCACY45-05_1,0.51918
pre80,NCACY45-05_1,0.68299
pre80,NCACY45-05_1,0.56561
pre80,NCACY45-05_1,0.60964
pre100,NCACY45-05_1,0.81138
pre100,NCACY45-05_1,0.44386
pre100,NCACY45-05_1,0.51505
pre100,NCACY45-05_1,0.56453
pre100,NCACY45-05_1,0.51286
pre100,NCACY45-05_1,0.57864
pre100,NCACY45-05_1,0.52532
pre100,NCACY45-05_1,0.49364
pre100,NCACY45-05_1,0.4769
pre100,NCACY45-05_1,0.5102
pre150,NCACY45-05_1,0.81662
pre150,NCACY45-05_1,0.66442
pre150,NCACY45-05_1,0.70206
pre150,NCACY45-05_1,0.65035
pre150,NCACY45-05_1,0.77558
pre150,NCACY45-05_1,0.53749
pre150,NCACY45-05_1,0.77099
pre150,NCACY45-05_1,0.62327
pre150,NCACY45-05_1,0.58734
pre150,NCACY45-05_1,0.57678
pre30,NCACY35-05_1,0.54855
pre30,NCACY35-05_1,0.32733
pre30,NCACY35-05_1,0.38405
pre30,NCACY35-05_1,0.32413
pre30,NCACY35-05_1,0.40483
pre30,NCACY35-05_1,0.53809
pre30,NCACY35-05_1,0.38977
pre30,NCACY35-05_1,0.34791
pre30,NCACY35-05_1,0.53421
pre30,NCACY35-05_1,0.346
pre50,NCACY35-05_1,0.15885
pre50,NCACY35-05_1,0.29774
pre50,NCACY35-05_1,0.32829
pre50,NCACY35-05_1,0.2036
pre50,NCACY35-05_1,0.34478
pre50,NCACY35-05_1,0.31621
pre50,NCACY35-05_1,0.15873
pre50,NCACY35-05_1,0.25817
pre50,NCACY35-05_1,0.3131
pre50,NCACY35-05_1,0.18608
pre80,NCACY35-05_1,0.48688
pre80,NCACY35-05_1,0.60201
pre80,NCACY35-05_1,0.79322
pre80,NCACY35-05_1,0.49049
pre80,NCACY35-05_1,0.40439
pre80,NCACY35-05_1,0.82297
pre80,NCACY35-05_1,0.44883
pre80,NCACY35-05_1,0.39841
pre80,NCACY35-05_1,0.44491
pre80,NCACY35-05_1,0.43142
pre100,NCACY35-05_1,0.43617
pre100,NCACY35-05_1,0.6772
pre100,NCACY35-05_1,0.56499
pre100,NCACY35-05_1,0.47085
pre100,NCACY35-05_1,0.43564
pre100,NCACY35-05_1,0.52697
pre100,NCACY35-05_1,0.61502
pre100,NCACY35-05_1,0.74241
pre100,NCACY35-05_1,0.49834
pre100,NCACY35-05_1,0.42753
pre150,NCACY35-05_1,0.49911
pre150,NCACY35-05_1,0.47786
pre150,NCACY35-05_1,0.58971
pre150,NCACY35-05_1,0.50614
pre150,NCACY35-05_1,0.46658
pre150,NCACY35-05_1,0.62429
pre150,NCACY35-05_1,0.79601
pre150,NCACY35-05_1,0.50245
pre150,NCACY35-05_1,0.64176
pre150,NCACY35-05_1,0.54618
pre30,NCACY25-025_1,0.78435
pre30,NCACY25-025_1,1.00943
pre30,NCACY25-025_1,0.7652
pre30,NCACY25-025_1,0.95921
pre30,NCACY25-025_1,0.75088
pre30,NCACY25-025_1,1.13983
pre30,NCACY25-025_1,0.84953
pre30,NCACY25-025_1,1.37109
pre30,NCACY25-025_1,0.95978
pre30,NCACY25-025_1,3.06347
pre50,NCACY25-025_1,0.80855
pre50,NCACY25-025_1,0.86513
pre50,NCACY25-025_1,0.8444
pre50,NCACY25-025_1,0.82943
pre50,NCACY25-025_1,0.93597
pre50,NCACY25-025_1,1.09318
pre50,NCACY25-025_1,0.9063
pre50,NCACY25-025_1,1.04677
pre50,NCACY25-025_1,0.912
pre50,NCACY25-025_1,1.07208
pre80,NCACY25-025_1,1.28427
pre80,NCACY25-025_1,1.7977
pre80,NCACY25-025_1,1.44413
pre80,NCACY25-025_1,2.22941
pre80,NCACY25-025_1,1.13679
pre80,NCACY25-025_1,0.84198
pre80,NCACY25-025_1,1.53844
pre80,NCACY25-025_1,0.835
pre80,NCACY25-025_1,1.04888
pre80,NCACY25-025_1,1.64232
pre100,NCACY25-025_1,1.06641
pre100,NCACY25-025_1,0.83041
pre100,NCACY25-025_1,1.20154
pre100,NCACY25-025_1,1.08148
pre100,NCACY25-025_1,1.10742
pre100,NCACY25-025_1,1.071
pre100,NCACY25-025_1,4.40866
pre100,NCACY25-025_1,1.71948
pre100,NCACY25-025_1,1.25069
pre100,NCACY25-025_1,1.25281
pre150,NCACY25-025_1,0.89336
pre150,NCACY25-025_1,1.15139
pre150,NCACY25-025_1,1.04565
pre150,NCACY25-025_1,0.8721
pre150,NCACY25-025_1,1.92697
pre150,NCACY25-025_1,0.91694
pre150,NCACY25-025_1,1.85741
pre150,NCACY25-025_1,0.96611
pre150,NCACY25-025_1,1.85327
pre150,NCACY25-025_1,1.19074
pre30,NCACY25-05_1,0.88222
pre30,NCACY25-05_1,0.89118
pre30,NCACY25-05_1,0.92801
pre30,NCACY25-05_1,0.9042
pre30,NCACY25-05_1,0.89343
pre30,NCACY25-05_1,0.73752
pre30,NCACY25-05_1,0.73139
pre30,NCACY25-05_1,1.27102
pre30,NCACY25-05_1,0.97274
pre30,NCACY25-05_1,0.99075
pre50,NCACY25-05_1,1.02126
pre50,NCACY25-05_1,0.77974
pre50,NCACY25-05_1,0.95428
pre50,NCACY25-05_1,1.00343
pre50,NCACY25-05_1,0.77677
pre50,NCACY25-05_1,0.84669
pre50,NCACY25-05_1,0.7473
pre50,NCACY25-05_1,0.91034
pre50,NCACY25-05_1,0.82011
pre50,NCACY25-05_1,0.98666
pre80,NCACY25-05_1,1.00133
pre80,NCACY25-05_1,1.0493
pre80,NCACY25-05_1,1.03403
pre80,NCACY25-05_1,0.98601
pre80,NCACY25-05_1,1.05094
pre80,NCACY25-05_1,1.03397
pre80,NCACY25-05_1,1.49199
pre80,NCACY25-05_1,1.01847
pre80,NCACY25-05_1,1.13533
pre80,NCACY25-05_1,1.24418
pre100,NCACY25-05_1,0.94868
pre100,NCACY25-05_1,0.93878
pre100,NCACY25-05_1,0.94292
pre100,NCACY25-05_1,0.99565
pre100,NCACY25-05_1,0.91885
pre100,NCACY25-05_1,1.30779
pre100,NCACY25-05_1,0.90308
pre100,NCACY25-05_1,0.98804
pre100,NCACY25-05_1,0.98065
pre100,NCACY25-05_1,0.92214
pre150,NCACY25-05_1,0.94868
pre150,NCACY25-05_1,0.93878
pre150,NCACY25-05_1,0.94292
pre150,NCACY25-05_1,0.99565
pre150,NCACY25-05_1,0.91885
pre150,NCACY25-05_1,1.30779
pre150,NCACY25-05_1,0.90308
pre150,NCACY25-05_1,0.98804
pre150,NCACY25-05_1,0.98065
pre150,NCACY25-05_1,0.92214
pre30,NCACY25-1_1,0.9573
pre30,NCACY25-1_1,0.95242
pre30,NCACY25-1_1,0.98434
pre30,NCACY25-1_1,0.95635
pre30,NCACY25-1_1,0.94687
pre30,NCACY25-1_1,1.04122
pre30,NCACY25-1_1,0.98103
pre30,NCACY25-1_1,0.94744
pre30,NCACY25-1_1,1.04841
pre30,NCACY25-1_1,0.97486
pre50,NCACY25-1_1,0.9573
pre50,NCACY25-1_1,0.95242
pre50,NCACY25-1_1,0.98434
pre50,NCACY25-1_1,0.95635
pre50,NCACY25-1_1,0.94687
pre50,NCACY25-1_1,1.04122
pre50,NCACY25-1_1,0.98103
pre50,NCACY25-1_1,0.94744
pre50,NCACY25-1_1,1.04841
