Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.009041359050782821, 0.018913481355743222, 0.029782612651255064, 0.041858471586652984, 0.055479425018572476, 0.07121611852172202, 0.08985460459232716, 0.1120117205626954, 0.13844434932644886, 0.16949991127356243, 0.20411801861196502, 0.24053886959148488, 0.2774120738367325, 0.3134646713030368, 0.35011641676876626, 0.3874721584683337, 0.4237562684338595, 0.4580077094967717, 0.49064530992607436, 0.5217565018845514, 0.5515153191729317, 0.5799312251605928, 0.6069459030957437, 0.6328527690318279, 0.6577779618622434, 0.6816753178863597, 0.7047640190077793, 0.7269112328939294, 0.7483605168171094, 0.7691321192030884, 0.7891406814952888, 0.8086558861452766, 0.8276977896925839, 0.8460721948752841, 0.8640357989795924, 0.8816674690306987, 0.8988533667626377, 0.9156386833873251, 0.9320486447662919, 0.9481442206586779, 0.9639160546203951, 0.9793066383206739, 0.9945267831793461, 1.0093714999999979, 1.0239944134123495, 1.0384344293429035, 1.052631703810089, 1.066519427458876, 1.0799669]","[4.197333, 4.196949, 4.196616, 4.196407, 4.196203, 4.195995, 4.195862, 4.195692, 4.195519, 4.195415, 4.195249, 4.195153, 4.195057, 4.1949, 4.194817, 4.194701, 4.194636, 4.194542, 4.194435, 4.194339, 4.194201, 4.194129, 4.194039, 4.193953, 4.193883, 4.193793, 4.193673, 4.193621, 4.193525, 4.193485, 4.193407, 4.19331, 4.193263, 4.193129, 4.19307, 4.193017, 4.192958, 4.192832, 4.192792, 4.192691, 4.192658, 4.192544, 4.192478, 4.192465, 4.192384, 4.192302, 4.192218, 4.192138, 4.192137, 4.192091, 4.191978, 4.191917, 4.191844, 4.191765, 4.191751, 4.191637, 4.191562, 4.191515, 4.191493, 4.191391, 4.191358, 4.191325, 4.191256, 4.191198, 4.191108, 4.191074, 4.190989, 4.190952, 4.19088, 4.190823, 4.190782, 4.19072, 4.190669, 4.190629, 4.190538, 4.190485, 4.190485, 4.190395, 4.190353, 4.190279, 4.190246, 4.190208, 4.190133, 4.190065, 4.189995, 4.189985, 4.189909, 4.189886, 4.189828, 4.189759, 4.189757]",1.898907,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.008031199469903272, 0.01923394424307867, 0.03141435018971128, 0.044647235975481536, 0.05918634500684372, 0.07586033665840108, 0.0954642559126544, 0.11902340867154404, 0.14719322972396404, 0.18031054911335798, 0.21651983479758574, 0.2544890388985933, 0.29181746474288495, 0.3282216825198053, 0.36454781030300754, 0.40125232283985246, 0.43755219465483575, 0.47220021521335787, 0.5050155164688361, 0.5363781933821473, 0.5662343688990252, 0.5948666813170612, 0.6221388351862993, 0.6483387842065578, 0.6733862323232306, 0.6976151398034015, 0.7208696052908337, 0.743207840051306, 0.7649857148848511, 0.7859839868040408, 0.8062338493054848, 0.8260407959534848, 0.8452100123275053, 0.863925535135136, 0.8821413507380542, 0.8999576916561789, 0.9173830763525539, 0.9344106068855949, 0.9510704235621499, 0.967449626771653, 0.9834694801336756, 0.9992625828397212, 1.0147367436181745, 1.0299127362436347, 1.0449515629629613, 1.0597454803407458, 1.0742545028649388, 1.088556638703242, 1.0996092]","[4.197308, 4.196946, 4.196629, 4.196425, 4.196172, 4.195991, 4.195836, 4.19566, 4.195502, 4.195391, 4.195225, 4.195156, 4.195046, 4.19494, 4.194796, 4.194704, 4.19464, 4.194463, 4.194384, 4.194293, 4.194193, 4.194103, 4.194001, 4.193955, 4.193844, 4.193741, 4.193696, 4.193569, 4.193515, 4.193409, 4.193276, 4.193263, 4.193168, 4.19312, 4.192997, 4.192914, 4.192885, 4.19278, 4.192696, 4.192668, 4.192558, 4.192487, 4.192438, 4.192367, 4.192318, 4.192219, 4.192126, 4.19209, 4.191993, 4.191934, 4.191861, 4.191764, 4.191727, 4.191706, 4.191574, 4.19155, 4.191476, 4.191353, 4.191372, 4.191288, 4.191224, 4.191176, 4.191083, 4.19106, 4.191, 4.190915, 4.190866, 4.190824, 4.190771, 4.190666, 4.190623, 4.190534, 4.190507, 4.190455, 4.190367, 4.190355, 4.190306, 4.190241, 4.190158, 4.190124, 4.190034, 4.189947, 4.189958, 4.189875, 4.189818, 4.189794, 4.189725, 4.189651, 4.189599, 4.189565, 4.189565]",1.8951335999999999,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.006031205326280598, 0.015679031919317993, 0.026284613876656288, 0.03785694222489916, 0.051085541102637744, 0.06624482197853071, 0.08415340725534226, 0.10551587071295998, 0.1310793418195727, 0.1611861618524309, 0.1951648316608588, 0.23103124606682263, 0.2673158452721064, 0.3031145478991595, 0.33936691874380776, 0.3763551273987197, 0.4124093983429902, 0.44651616049048126, 0.4793660957712217, 0.5102769057655497, 0.5401894268221574, 0.5686174201407437, 0.5955602533943106, 0.6213396242021804, 0.6464212606795859, 0.6701042362630267, 0.6928779304650591, 0.715088519787044, 0.7363248518890181, 0.7571828806453549, 0.7771641596665693, 0.7965658590471123, 0.8153060416278666, 0.8337457356327653, 0.8516834926380372, 0.8690727208423799, 0.8861876813499185, 0.9027842083380027, 0.9190896653109384, 0.9350526670195007, 0.9507358453376595, 0.9660597296566826, 0.9811354139805983, 0.9960119022735392, 1.0104964772553526, 1.0248450430159812, 1.0390622905002969, 1.0528668938525947, 1.0665881]","[4.197309, 4.196926, 4.19662, 4.196406, 4.196208, 4.195996, 4.195844, 4.195693, 4.195511, 4.195376, 4.195267, 4.195121, 4.195005, 4.194859, 4.194816, 4.194645, 4.194593, 4.194484, 4.194352, 4.194269, 4.194177, 4.194081, 4.193979, 4.193945, 4.193816, 4.193744, 4.193673, 4.193566, 4.193519, 4.193466, 4.193339, 4.193255, 4.19321, 4.193128, 4.193009, 4.192976, 4.192887, 4.192828, 4.192759, 4.192706, 4.192613, 4.192515, 4.192471, 4.192378, 4.192351, 4.192266, 4.192195, 4.192131, 4.19206, 4.191997, 4.191926, 4.191853, 4.191807, 4.191772, 4.191678, 4.191619, 4.191544, 4.191501, 4.191442, 4.191373, 4.191309, 4.191265, 4.191216, 4.191111, 4.191108, 4.190988, 4.190954, 4.190915, 4.190851, 4.190791, 4.190712, 4.190716, 4.190645, 4.190572, 4.190538, 4.190466, 4.190408, 4.190356, 4.190297, 4.190244, 4.190181, 4.190162, 4.190069, 4.189988, 4.189986, 4.189953, 4.189886, 4.189827, 4.189774, 4.189764]",1.8913601999999998,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.0066341041483838625, 0.016149125739154557, 0.02644722920257575, 0.03790848712266737, 0.05080905439147276, 0.06557280583667191, 0.08308077488182702, 0.1039656369592914, 0.12879521556286966, 0.1579514096938761, 0.19127898005336302, 0.2268714360124443, 0.2626751710906865, 0.2981704918466896, 0.33400661681502214, 0.3706378988813291, 0.4066452078033201, 0.44067769449345723, 0.4733933988105646, 0.5043640483812215, 0.5340088131377538, 0.56235721985306, 0.589451592709854, 0.6152903833727683, 0.6401461388569498, 0.6640016636137365, 0.6868285191653583, 0.7088620810138233, 0.73023175124255, 0.7507594268597086, 0.7708474436525785, 0.7903004958611994, 0.8090830802166118, 0.8273477829833298, 0.8452141961569042, 0.8626739711772036, 0.8797051758707364, 0.8962581860985526, 0.9126064251838955, 0.9286390505171489, 0.9443569704687218, 0.9596026090623031, 0.9746685511821964, 0.9895024277787134, 1.0041422665701651, 1.018448955230123, 1.0324896544846047, 1.0463894074119457, 1.0599707]","[4.197274, 4.196913, 4.196596, 4.196344, 4.196172, 4.19597, 4.195774, 4.195662, 4.195489, 4.195332, 4.195249, 4.195118, 4.194987, 4.194894, 4.194765, 4.194639, 4.194518, 4.194513, 4.194322, 4.194273, 4.194187, 4.194067, 4.193984, 4.193901, 4.193814, 4.19378, 4.193654, 4.193588, 4.193485, 4.19343, 4.193353, 4.193238, 4.193161, 4.19313, 4.193011, 4.192961, 4.192872, 4.192788, 4.192732, 4.192657, 4.192617, 4.192546, 4.192489, 4.192374, 4.192332, 4.192301, 4.1922, 4.1921, 4.192042, 4.192021, 4.191947, 4.19188, 4.191826, 4.191742, 4.191683, 4.191588, 4.191541, 4.191558, 4.191442, 4.191402, 4.191339, 4.191283, 4.191219, 4.191165, 4.19112, 4.191042, 4.191003, 4.190946, 4.190897, 4.190817, 4.190773, 4.190761, 4.190679, 4.190576, 4.190581, 4.190519, 4.190437, 4.190423, 4.190348, 4.190304, 4.190248, 4.190182, 4.190131, 4.190082, 4.190004, 4.189982, 4.189952, 4.189917, 4.18983, 4.189822, 4.189821]",1.8875868,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.005824438347101252, 0.015221662343743808, 0.02553838337650466, 0.03691596025231858, 0.04965703915501213, 0.06450959339808127, 0.08177665486148666, 0.102292804309839, 0.12694748884897894, 0.15599970742822356, 0.18899221196004967, 0.2242891335774081, 0.2599660780316603, 0.29541348041184057, 0.33070755479368463, 0.36738269894167985, 0.4032275549819919, 0.43735680679410915, 0.46985902294852044, 0.5010428422537707, 0.5305962157800351, 0.5586643582270389, 0.5858201999586882, 0.611708584431137, 0.6363762319450212, 0.6600799939100909, 0.6829175377792049, 0.704940615409309, 0.7262331247639339, 0.7468471364442613, 0.7667112292321372, 0.7859944954319342, 0.804848886094214, 0.8231417804002579, 0.8410855864544777, 0.8584793502878068, 0.8754688238653787, 0.8921258237826124, 0.9083781289025044, 0.924310930981566, 0.9398782725925934, 0.9552508893118581, 0.9703487842744813, 0.98510753035677, 0.9996112601721228, 1.0139076694774602, 1.0279716408845425, 1.04190602493466, 1.0533228000000001]","[4.197295, 4.196908, 4.196587, 4.196373, 4.196159, 4.195969, 4.195817, 4.195658, 4.19551, 4.195347, 4.195249, 4.195128, 4.194972, 4.19489, 4.194764, 4.194685, 4.194581, 4.19445, 4.194371, 4.1943, 4.194211, 4.194102, 4.194, 4.193915, 4.193816, 4.193728, 4.193661, 4.193581, 4.193533, 4.193434, 4.193366, 4.19328, 4.193201, 4.193125, 4.193036, 4.192991, 4.192906, 4.19287, 4.192767, 4.192688, 4.192622, 4.192583, 4.192501, 4.192442, 4.192364, 4.192256, 4.192192, 4.192161, 4.19211, 4.192061, 4.191985, 4.191911, 4.191845, 4.191781, 4.19173, 4.191659, 4.191617, 4.191552, 4.191508, 4.191444, 4.191387, 4.191323, 4.191261, 4.191186, 4.191183, 4.191112, 4.191014, 4.190978, 4.190927, 4.190865, 4.190861, 4.190765, 4.190711, 4.190647, 4.190629, 4.190573, 4.190532, 4.190441, 4.190405, 4.190362, 4.19031, 4.190245, 4.190204, 4.190158, 4.190094, 4.190063, 4.190031, 4.189923, 4.189921, 4.189867, 4.189889]",1.8838134,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.0054421660047128395, 0.014874550761050043, 0.025196371124871775, 0.03656635296714389, 0.049337891952303536, 0.06401808944724435, 0.08137763014451888, 0.10186431081355662, 0.12644183894902017, 0.15521682452266178, 0.1884163956254269, 0.22352009144593837, 0.2591327262865614, 0.294587359128978, 0.3301060639577898, 0.36646470530686576, 0.40196775333489626, 0.4360420509341762, 0.46832723671836524, 0.49931550529559227, 0.5289321748036502, 0.5569732418993263, 0.5840792065279445, 0.6099342347473906, 0.6346406404458957, 0.6581588057022072, 0.6810686699555177, 0.7030377333736022, 0.7242858846089268, 0.744797101336734, 0.7647098616969543, 0.7840444741330665, 0.8028124837486352, 0.8210862270965849, 0.8389563816149073, 0.85621279973603, 0.873380875554677, 0.8899781446222603, 0.9061176600311034, 0.9220948930898683, 0.9377185965939261, 0.9530541668209547, 0.9680985955048866, 0.9828001566640727, 0.9973536255703961, 1.011642580362687, 1.0256348540581588, 1.0394855734529298, 1.0530068]","[4.197312, 4.196929, 4.19659, 4.196354, 4.196137, 4.19596, 4.195753, 4.195594, 4.195487, 4.195345, 4.195216, 4.195086, 4.194923, 4.194853, 4.194756, 4.194604, 4.194532, 4.194417, 4.194361, 4.194243, 4.194149, 4.19404, 4.193988, 4.193875, 4.193827, 4.193711, 4.193636, 4.193552, 4.19347, 4.193423, 4.193288, 4.193273, 4.193182, 4.193081, 4.193058, 4.192938, 4.192873, 4.192799, 4.192748, 4.192648, 4.192642, 4.19253, 4.192462, 4.192422, 4.192338, 4.192254, 4.192192, 4.192138, 4.192074, 4.192015, 4.19195, 4.191877, 4.191808, 4.191764, 4.19168, 4.191648, 4.191571, 4.191541, 4.191468, 4.191429, 4.19136, 4.191269, 4.191242, 4.191203, 4.191157, 4.191064, 4.191021, 4.190978, 4.190898, 4.190847, 4.190804, 4.19073, 4.190719, 4.190666, 4.190564, 4.190541, 4.190478, 4.190452, 4.190367, 4.19033, 4.190285, 4.190206, 4.190169, 4.190179, 4.190078, 4.190043, 4.189992, 4.189972, 4.189894, 4.189873, 4.189873]",1.88004,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.008288665326380673, 0.019202441738354448, 0.031023910481571715, 0.04381112733634379, 0.05798879841078891, 0.07395342035635594, 0.09302493003802237, 0.11594533668658491, 0.14311182017392154, 0.17513775327847053, 0.21103722719151619, 0.24799289831273774, 0.2851448812697659, 0.3210947567727602, 0.35691802727567046, 0.3932550738574758, 0.42927174202949825, 0.46382353650521524, 0.4962319533983218, 0.5276572751857971, 0.5574395452581017, 0.5858050740450711, 0.6131936694217244, 0.6391751579541128, 0.6640821120871276, 0.6882439347557184, 0.7114133196487894, 0.7337915852631574, 0.7553332082679203, 0.7762104553719007, 0.7964171404573883, 0.8161182879162687, 0.8352186274223012, 0.8539297270871999, 0.8720384360717428, 0.8897968386239459, 0.9070555088412475, 0.9239812562979097, 0.9405735552559427, 0.956850236300208, 0.9727613690396959, 0.9884761809890101, 1.0037617329034672, 1.0190355152883288, 1.033883136886991, 1.04848520226888, 1.0629734914728686, 1.0771502966604818, 1.0896346000000001]","[4.197289, 4.196947, 4.196605, 4.196379, 4.19614, 4.195979, 4.195793, 4.195632, 4.195452, 4.195323, 4.195227, 4.195144, 4.194991, 4.194857, 4.194722, 4.19465, 4.194556, 4.194472, 4.194323, 4.194264, 4.194158, 4.194076, 4.193976, 4.193865, 4.193797, 4.193736, 4.193607, 4.193524, 4.193468, 4.193381, 4.193254, 4.193225, 4.193124, 4.193047, 4.192956, 4.192891, 4.192841, 4.19277, 4.192674, 4.192585, 4.19255, 4.192454, 4.192364, 4.192315, 4.192274, 4.1922, 4.192103, 4.192042, 4.191974, 4.191868, 4.19185, 4.191782, 4.191703, 4.191664, 4.191584, 4.19148, 4.191453, 4.191411, 4.19133, 4.191294, 4.1912, 4.191156, 4.191057, 4.191029, 4.190976, 4.190921, 4.190843, 4.190793, 4.190762, 4.190678, 4.190625, 4.190553, 4.190486, 4.190457, 4.190395, 4.190319, 4.190234, 4.190254, 4.190192, 4.19011, 4.190072, 4.190017, 4.189921, 4.189898, 4.189847, 4.189778, 4.18972, 4.189668, 4.1896, 4.189552, 4.189537]",1.8788656,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.007333516651248262, 0.016909028632874523, 0.02724442978531383, 0.03880528775510156, 0.05173762542020832, 0.06672035772194024, 0.0843384404593629, 0.105029440330418, 0.13006197098625305, 0.1594116537745176, 0.19273351693352592, 0.2278951521635571, 0.2635756472118393, 0.29895329679300314, 0.33472095349412273, 0.3710584567717972, 0.4070572197448978, 0.44088163586344714, 0.47349186818210093, 0.5044105356315502, 0.5339662732578385, 0.5623336853293308, 0.5893605061916722, 0.6151345620648252, 0.6399080273523661, 0.6636593859461419, 0.6866130198204452, 0.708578582146651, 0.7298788380544763, 0.7504470604447142, 0.7703200992593473, 0.7897896552675108, 0.8086097728909722, 0.8269825364865102, 0.8448010396396402, 0.8622150969387752, 0.879258069235815, 0.89585535356031, 0.9121232364062848, 0.9280474559629621, 0.943631554398418, 0.9590105768194066, 0.9740171042080541, 0.9887281364605536, 1.0033188028020144, 1.0175906680310254, 1.0315683233695645, 1.045366540181217, 1.056637]","[4.197331, 4.196935, 4.196624, 4.196372, 4.196152, 4.195973, 4.195817, 4.195632, 4.195487, 4.195341, 4.195238, 4.195125, 4.194977, 4.194834, 4.194752, 4.194657, 4.194542, 4.194427, 4.194325, 4.194265, 4.194175, 4.194064, 4.193976, 4.193901, 4.19379, 4.19372, 4.193671, 4.19355, 4.193455, 4.193385, 4.193327, 4.193223, 4.193141, 4.193096, 4.193022, 4.192993, 4.192885, 4.192798, 4.192722, 4.192659, 4.1926, 4.192475, 4.192455, 4.192385, 4.192313, 4.192221, 4.192167, 4.192156, 4.192033, 4.191961, 4.191911, 4.191896, 4.191786, 4.19171, 4.191659, 4.191558, 4.191539, 4.1915, 4.19139, 4.191372, 4.191303, 4.191247, 4.191206, 4.191125, 4.191061, 4.19102, 4.190936, 4.19088, 4.190864, 4.190746, 4.190724, 4.190665, 4.190631, 4.190562, 4.190551, 4.19042, 4.190417, 4.190376, 4.190306, 4.190286, 4.190212, 4.19016, 4.190097, 4.190078, 4.189991, 4.189953, 4.18989, 4.189845, 4.189772, 4.18974, 4.189731]",1.8776912,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.008656280403524563, 0.018071245063321723, 0.028337353593705844, 0.03960489727348748, 0.052430553910012834, 0.06707530787262711, 0.08426360184108411, 0.1047848897959186, 0.12911643141082463, 0.15807413207694354, 0.19094154034048783, 0.22601008251713256, 0.2614903569098207, 0.29693584333412704, 0.3326625657880853, 0.36837119550671427, 0.4040002552701861, 0.43811994126626985, 0.4704457443988105, 0.5013830372163386, 0.5308853275339173, 0.5590691317062069, 0.5860230017668819, 0.6118413516812183, 0.6365753632506932, 0.6602703575968794, 0.6830117217571033, 0.7051572090852117, 0.726405933711183, 0.7469710090950775, 0.7668959982374758, 0.7861989314771881, 0.8050393145107456, 0.8233096965698105, 0.8411688073385511, 0.8585932291352897, 0.8755639683886577, 0.8920928911251965, 0.9083878842622285, 0.9242071262195127, 0.939860223404514, 0.9550850018450184, 0.9701597326559567, 0.9848826632653048, 0.9994525318462261, 1.0137307731493683, 1.0277545681344273, 1.0415639967732098, 1.0529833000000002]","[4.197285, 4.196875, 4.196615, 4.196335, 4.196142, 4.195975, 4.195792, 4.195645, 4.1955, 4.195316, 4.195223, 4.195101, 4.194972, 4.194903, 4.194735, 4.194673, 4.19456, 4.194425, 4.194377, 4.194246, 4.194155, 4.194053, 4.193964, 4.193882, 4.193786, 4.193698, 4.193633, 4.193573, 4.19347, 4.193388, 4.193297, 4.193237, 4.193179, 4.193104, 4.192996, 4.19293, 4.192876, 4.192772, 4.192746, 4.192685, 4.1926, 4.192519, 4.192456, 4.19241, 4.192325, 4.192262, 4.192229, 4.192154, 4.192077, 4.192003, 4.191959, 4.191852, 4.191826, 4.191757, 4.191698, 4.191628, 4.191556, 4.191496, 4.191453, 4.191383, 4.191347, 4.191231, 4.191239, 4.191139, 4.191094, 4.191072, 4.190984, 4.190958, 4.190868, 4.190816, 4.190761, 4.190712, 4.190715, 4.190598, 4.190576, 4.190522, 4.190438, 4.190403, 4.190348, 4.190309, 4.19026, 4.190214, 4.190164, 4.190086, 4.190077, 4.189995, 4.189936, 4.189888, 4.189815, 4.189779, 4.189785]",1.8765168,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.007713009353513517, 0.017107216906875694, 0.02739771162830157, 0.03866984931026732, 0.05134218915875263, 0.06593006156278983, 0.08308712941022181, 0.10319109647095706, 0.1274125201607095, 0.1561462322669588, 0.18876083546991004, 0.22355627958462407, 0.25899760670863914, 0.2941634388770432, 0.3295581460270828, 0.36550078378378237, 0.40085795485341347, 0.4348702289078952, 0.46701979175093233, 0.497933551920855, 0.5274111934617742, 0.5555214072658826, 0.582372016618076, 0.6081662152503275, 0.6329372604007407, 0.6565177920157521, 0.6794340892296299, 0.7014152181749382, 0.722646036105281, 0.7431199743727672, 0.7632388696649255, 0.7825831021255129, 0.8013422341007863, 0.8196222478221673, 0.8374615043478262, 0.8548611995127928, 0.8719107517485547, 0.8885505723990279, 0.904847443367345, 0.9207356978911054, 0.936431302075116, 0.9517051537858734, 0.9667102026611512, 0.981535233036468, 0.9960443719604535, 1.0102870054327135, 1.0244397873626379, 1.0382658376582738, 1.0496584]","[4.197325, 4.196929, 4.19663, 4.196372, 4.19617, 4.195974, 4.195801, 4.195649, 4.19551, 4.19538, 4.195235, 4.195128, 4.194997, 4.194877, 4.194749, 4.194649, 4.194587, 4.194473, 4.194402, 4.19425, 4.194165, 4.194093, 4.193987, 4.193934, 4.193854, 4.193776, 4.193689, 4.193598, 4.193487, 4.193449, 4.193356, 4.193247, 4.193161, 4.193111, 4.193052, 4.192969, 4.192895, 4.192813, 4.192756, 4.192728, 4.192599, 4.192548, 4.192475, 4.192429, 4.19238, 4.192308, 4.192238, 4.19216, 4.192101, 4.192031, 4.191978, 4.191884, 4.191846, 4.191773, 4.191723, 4.191684, 4.191607, 4.19155, 4.191518, 4.191439, 4.191381, 4.191301, 4.191263, 4.191247, 4.191117, 4.191089, 4.191045, 4.191033, 4.190927, 4.190896, 4.190809, 4.190731, 4.190703, 4.19066, 4.1906, 4.190552, 4.190488, 4.190426, 4.190403, 4.190367, 4.19031, 4.190244, 4.19018, 4.190175, 4.1901, 4.190037, 4.190004, 4.189952, 4.189872, 4.189854, 4.189867]",1.8753424,3.8,4.1
