Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.095, 0.105, 0.118, 0.136, 0.156, 0.175, 0.189, 0.20842261904761897, 0.22, 0.23485289115646252, 0.25, 0.266, 0.28027836734693884, 0.3013248979591836, 0.31846718146718145, 0.34845408163265285, 0.3747444897959183, 0.408, 0.441, 0.497, 0.57, 0.664, 0.775, 0.842, 0.9600765306122444, 1.049, 1.1289419152276292, 1.2150313971742543, 1.264, 1.309, 1.36, 1.402, 1.4505736348593492, 1.491, 1.5218053935860056, 1.564, 1.6086564625850337, 1.6394200680272109, 1.660728163265306, 1.702, 1.735, 1.764, 1.794, 1.828, 1.853, 1.874, 1.9035404081632654, 1.9340452289023717, 1.962, 1.986]",1.2,25,-2.4,2.31,2.32
3,"[0.096, 0.10452653061224497, 0.121, 0.139, 0.15897108843537394, 0.177, 0.19183163265306086, 0.20884523809523795, 0.220638932496075, 0.235, 0.251, 0.2655227629513343, 0.282, 0.303, 0.327, 0.351, 0.376, 0.4126310204081631, 0.456, 0.503, 0.562, 0.658, 0.7515568513119533, 0.8650397422126744, 0.971, 1.059, 1.141, 1.2200313971742542, 1.269, 1.306, 1.366, 1.404859329446064, 1.4573689795918368, 1.487, 1.5256367346938773, 1.568244897959183, 1.6123129251700679, 1.6424200680272107, 1.662, 1.7055306122448979, 1.733, 1.7656955782312924, 1.793, 1.83, 1.851, 1.882, 1.9075404081632654, 1.9305697278911567, 1.963049641478213, 1.987]",1.2,25,-2.4,2.309,2.321
4,"[0.096, 0.10708948194662472, 0.121, 0.139, 0.159, 0.177, 0.194, 0.20942261904761897, 0.221638932496075, 0.236, 0.253, 0.266, 0.282, 0.301, 0.3262114285714285, 0.352, 0.381, 0.413, 0.449, 0.5046840816326529, 0.575, 0.682, 0.786, 0.871, 0.97, 1.0601301020408163, 1.148, 1.2210313971742544, 1.262, 1.313, 1.3669540816326529, 1.410859329446064, 1.4641487820934824, 1.4949293987865417, 1.5406367346938774, 1.571, 1.6096564625850338, 1.64, 1.6618640816326529, 1.7081720904578046, 1.739, 1.76, 1.795, 1.825, 1.854, 1.875, 1.91, 1.939, 1.959, 1.988]",1.2,25,-2.4,2.312,2.324
5,"[0.098, 0.106, 0.121, 0.139, 0.161, 0.177, 0.19366326530612185, 0.211, 0.225, 0.23685289115646252, 0.252, 0.266, 0.283, 0.3, 0.33040659340659323, 0.35445408163265285, 0.3775086342229197, 0.414, 0.457, 0.508, 0.58, 0.686, 0.808, 0.8910204081632653, 0.9800765306122444, 1.0641301020408163, 1.144, 1.2240313971742542, 1.273, 1.3244293877551019, 1.366, 1.412, 1.453573634859349, 1.4939293987865416, 1.5430918367346937, 1.5663085714285712, 1.61, 1.6397514577259473, 1.661, 1.7016870748299318, 1.738, 1.767, 1.797, 1.83, 1.8546326530612245, 1.88, 1.9101161695447406, 1.935, 1.9581530612244895, 1.989]",1.2,25,-2.4,2.313,2.325
6,"[0.098, 0.107, 0.124, 0.14034353741496597, 0.16168653061224497, 0.17918367346938788, 0.192, 0.21, 0.2260130612244899, 0.239, 0.25311734693877536, 0.267, 0.28495748299319734, 0.301, 0.329, 0.354, 0.38281946624803753, 0.414, 0.464, 0.508, 0.582, 0.6804880952380951, 0.783, 0.8872073039742211, 0.996, 1.062, 1.163, 1.205, 1.268, 1.328015306122449, 1.3697418967587036, 1.412, 1.457, 1.495, 1.542, 1.5707252747252747, 1.607, 1.6455425170068023, 1.67, 1.706, 1.738, 1.768, 1.799, 1.832, 1.857, 1.8841598639455779, 1.91, 1.933, 1.959, 1.989]",1.2,25,-2.4,2.31,2.325
7,"[0.097, 0.108, 0.122, 0.141, 0.162, 0.178, 0.192, 0.21, 0.226, 0.237, 0.254, 0.26827183673469385, 0.284, 0.306, 0.3276057142857143, 0.356, 0.383, 0.421, 0.4643282312925169, 0.511, 0.59, 0.707, 0.811, 0.8850629251700679, 0.992, 1.064, 1.145, 1.2320313971742543, 1.267, 1.33, 1.373, 1.414, 1.46, 1.498891156462585, 1.548, 1.57, 1.6088351020408163, 1.647, 1.674, 1.712, 1.738697521865889, 1.77, 1.799, 1.833, 1.8526326530612245, 1.88, 1.912, 1.9370669387755104, 1.962, 1.991]",1.2,25,-2.4,2.312,2.324
8,"[0.1, 0.107, 0.124, 0.141, 0.16346612244897946, 0.18119632653061218, 0.1945940430226144, 0.2088452380952381, 0.221, 0.239, 0.253, 0.268, 0.28457993197278914, 0.30362480376766077, 0.329, 0.358, 0.389, 0.4212904238618521, 0.452, 0.516, 0.593, 0.709, 0.7972244897959183, 0.89, 0.99, 1.068, 1.1559419152276291, 1.2250313971742544, 1.271, 1.3288257456828882, 1.373954081632653, 1.413, 1.457, 1.498, 1.545, 1.578244897959183, 1.612, 1.646, 1.6714772370486652, 1.7111720904578047, 1.742, 1.765, 1.799, 1.834, 1.858, 1.882, 1.913, 1.937, 1.9611530612244896, 1.992]",1.2,25,-2.4,2.311,2.323
9,"[0.1, 0.108, 0.123, 0.141, 0.16418235681369311, 0.182, 0.195, 0.213, 0.222, 0.23785289115646252, 0.25482277121374863, 0.269, 0.289, 0.30562480376766077, 0.33, 0.359, 0.3867444897959183, 0.4216310204081631, 0.452, 0.511, 0.595, 0.695, 0.828, 0.895, 0.99, 1.076, 1.153, 1.2310313971742544, 1.274, 1.334429387755102, 1.3739081632653058, 1.419, 1.4641235827664398, 1.502, 1.532, 1.571, 1.615, 1.6454200680272109, 1.672, 1.7141720904578046, 1.74, 1.7713911564625846, 1.802, 1.829, 1.858, 1.878766133480419, 1.914, 1.939, 1.962, 1.989]",1.2,25,-2.4,2.31,2.322
10,"[0.099, 0.109, 0.12386054421768687, 0.14288383045525893, 0.164, 0.181, 0.19583163265306086, 0.21056349206349192, 0.2262185821697099, 0.238, 0.253, 0.2685227629513343, 0.286, 0.304, 0.335, 0.358, 0.386, 0.4236292517006798, 0.467, 0.515, 0.596, 0.7, 0.8330876057740169, 0.899, 0.997, 1.071, 1.1559697959183672, 1.2150313971742543, 1.275020408163265, 1.337, 1.37, 1.419, 1.457, 1.498, 1.534, 1.575, 1.612, 1.647, 1.666728163265306, 1.706, 1.738, 1.772, 1.801, 1.8370974325213953, 1.860265306122449, 1.886, 1.913, 1.937, 1.96, 1.993]",1.2,25,-2.4,2.309,2.321
11,"[0.1, 0.10808948194662472, 0.12486054421768687, 0.14145959183673468, 0.164, 0.18, 0.194, 0.211, 0.225, 0.23785289115646252, 0.25371938775510205, 0.268, 0.285, 0.303, 0.332, 0.358, 0.385, 0.419, 0.46515755102040807, 0.5173924646781787, 0.598, 0.731, 0.832, 0.9040397422126745, 0.9970382653061223, 1.077, 1.148, 1.2170313971742543, 1.276, 1.328564983888292, 1.3729081632653057, 1.415859329446064, 1.462, 1.499, 1.531, 1.5737885714285713, 1.609, 1.641, 1.667, 1.707, 1.737697521865889, 1.7712470461868954, 1.798, 1.8331208163265302, 1.851, 1.876766133480419, 1.9111161695447407, 1.9354698515769944, 1.96, 1.99]",1.2,25,-2.4,2.306,2.32
