Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.104, 0.114, 0.13, 0.15, 0.174, 0.188, 0.204, 0.221, 0.235, 0.25, 0.2656683673469386, 0.2766873840445268, 0.2950140306122448, 0.3145635792778649, 0.335, 0.36, 0.388, 0.433, 0.461, 0.509, 0.5943835534213686, 0.731, 0.8352659644502963, 0.911, 1.0159212827988338, 1.127, 1.209, 1.262, 1.308, 1.363, 1.419, 1.45, 1.492, 1.535, 1.573, 1.6153428571428572, 1.6507469387755103, 1.684, 1.714, 1.746, 1.785, 1.814, 1.841, 1.8731539888682749, 1.899749699879952, 1.926, 1.952, 1.9850718367346942, 2.012115918367347, 2.034]",1.2,25,-2.4,2.357,2.346
3,"[0.103, 0.11253168635875391, 0.12985034013605426, 0.151, 0.17, 0.187, 0.203, 0.22053968253968237, 0.233, 0.2478798185941042, 0.2633341836734694, 0.28, 0.294, 0.314, 0.341, 0.3601700680272111, 0.395, 0.4323007080383174, 0.46623639455782323, 0.513, 0.603, 0.692, 0.84, 0.918, 1.018, 1.133, 1.19, 1.264, 1.312, 1.373, 1.41, 1.446, 1.497, 1.533, 1.577311224489796, 1.6156593406593407, 1.65184879406308, 1.688, 1.7157865646258506, 1.744775510204082, 1.784, 1.8145543120473997, 1.842831168831169, 1.8742605965463113, 1.901, 1.924, 1.952, 1.976, 2.012, 2.034]",1.2,25,-2.4,2.353,2.343
4,"[0.102, 0.112, 0.128, 0.1496530612244899, 0.172, 0.188, 0.202, 0.219, 0.233, 0.24645578231292517, 0.26, 0.2724569970845481, 0.2922199546485262, 0.3136848979591837, 0.336, 0.36, 0.386, 0.43034528405956984, 0.467, 0.514, 0.592, 0.705, 0.845, 0.92, 1.021, 1.116, 1.2024373177842567, 1.2613763265306122, 1.31, 1.355, 1.409, 1.45, 1.5011844897959183, 1.535, 1.5762367346938777, 1.617, 1.643, 1.681, 1.714, 1.749, 1.784, 1.816, 1.843, 1.8711208163265307, 1.895, 1.921, 1.956, 1.98, 2.0075934693877553, 2.032]",1.2,25,-2.4,2.35,2.341
5,"[0.103, 0.111, 0.13, 0.1506530612244899, 0.16947108843537415, 0.186, 0.201, 0.22047619047619058, 0.23240816326530633, 0.247, 0.263, 0.279, 0.2941799628942487, 0.313, 0.33361734693877554, 0.361, 0.39, 0.425, 0.4593668098818475, 0.51416169544741, 0.607, 0.707, 0.852, 0.925, 1.021, 1.126, 1.192, 1.266, 1.3, 1.36, 1.4163159183673468, 1.4593435374149668, 1.497, 1.538, 1.576, 1.6162448979591841, 1.653, 1.681, 1.717, 1.7466546938775513, 1.777, 1.813187755102041, 1.841, 1.869, 1.9, 1.9226538775510207, 1.9571161695447414, 1.982, 2.006, 2.031]",1.2,25,-2.4,2.346,2.338
6,"[0.102, 0.112, 0.12786045228902376, 0.149, 0.172, 0.187, 0.201, 0.219, 0.23213387755102044, 0.245, 0.262, 0.27352408163265307, 0.292, 0.313, 0.335, 0.36047102040816326, 0.386, 0.431, 0.46950161117078415, 0.515, 0.5945306122448979, 0.7128766233766233, 0.848, 0.929, 1.023, 1.113, 1.201, 1.258, 1.3062261904761903, 1.3621911922663803, 1.416, 1.456052154195011, 1.5020315398886828, 1.531, 1.574, 1.6079657142857142, 1.6416970172684453, 1.6813591836734694, 1.7123707482993196, 1.7425454081632654, 1.775, 1.8061798124655268, 1.834, 1.866, 1.8943673469387756, 1.915, 1.947, 1.975, 2.005, 2.029]",1.2,25,-2.4,2.346,2.339
7,"[0.105, 0.116, 0.1343299319727894, 0.153, 0.173, 0.188, 0.204, 0.22, 0.233, 0.25, 0.26406632653061224, 0.279, 0.295, 0.315, 0.336, 0.36, 0.39674411302982737, 0.43251177394034557, 0.47, 0.516, 0.607, 0.7443809523809527, 0.865, 0.939, 1.0492091836734694, 1.127, 1.2051927437641723, 1.262, 1.318057142857143, 1.38, 1.422, 1.46, 1.505, 1.5397772108843542, 1.5763877551020409, 1.613, 1.653, 1.6803297959183674, 1.713, 1.743, 1.783, 1.815, 1.8413611859838277, 1.867, 1.8991640816326532, 1.923, 1.954, 1.9726016326530615, 2.005, 2.029]",1.2,25,-2.4,2.345,2.338
8,"[0.103, 0.113, 0.135, 0.15179761904761935, 0.174, 0.19121428571428578, 0.204, 0.22, 0.233, 0.24957142857142894, 0.2637321428571431, 0.28010119047619053, 0.294, 0.315, 0.33755000000000007, 0.37, 0.4020793650793653, 0.435, 0.473, 0.52, 0.6381127819548872, 0.758166666666667, 0.858, 0.942, 1.043, 1.119257142857143, 1.207, 1.263, 1.322, 1.378, 1.42, 1.46, 1.505, 1.5297257142857144, 1.5759285714285718, 1.615, 1.652, 1.679, 1.711, 1.747535714285715, 1.783, 1.805, 1.837, 1.871, 1.9, 1.921, 1.952097142857143, 1.972, 2.004, 2.029]",1.2,25,-2.4,2.344,2.335
9,"[0.104, 0.115, 0.134, 0.15012471655328816, 0.17311385606874333, 0.18769109461966604, 0.2021297959183674, 0.219, 0.2320130612244899, 0.24903598281417832, 0.264, 0.278778425655977, 0.295, 0.314, 0.336, 0.362, 0.40036961451247166, 0.433, 0.47, 0.517, 0.619, 0.704, 0.8665107556536128, 0.933, 1.0501658163265306, 1.122, 1.21, 1.261, 1.317, 1.376, 1.421094191522763, 1.457, 1.503, 1.5299727891156463, 1.5789489795918366, 1.61, 1.647, 1.6788084772370484, 1.7109396258503404, 1.742, 1.7816640502354788, 1.8122017085904127, 1.839, 1.869, 1.8955663265306117, 1.9201394557823117, 1.947, 1.975213151927437, 2.004, 2.029]",1.2,25,-2.4,2.344,2.337
10,"[0.105, 0.119, 0.13871899529042378, 0.1571589688506983, 0.173, 0.19105247813411066, 0.206, 0.2221507936507935, 0.233, 0.25, 0.2647152133580705, 0.27874729891956784, 0.298, 0.32203974221267473, 0.344, 0.367, 0.402, 0.4333582766439908, 0.47354788069073783, 0.5392718367346939, 0.636, 0.7553452380952378, 0.8853180272108845, 0.945, 1.042548469387755, 1.127, 1.203, 1.275, 1.3194342857142858, 1.361941224489796, 1.4236310832025114, 1.4578282312925168, 1.507, 1.54, 1.578, 1.614, 1.652, 1.688, 1.715, 1.7479387755102043, 1.7819183673469388, 1.804, 1.839, 1.866471535982814, 1.898, 1.9183955296404276, 1.9477191836734693, 1.976294784580499, 1.999903790087463, 2.03]",1.2,25,-2.4,2.342,2.334
11,"[0.103, 0.1168742857142858, 0.137, 0.151, 0.174, 0.18706766917293224, 0.206, 0.219, 0.232, 0.249, 0.264, 0.27811564625850344, 0.294, 0.316, 0.336, 0.3690659340659342, 0.394, 0.4338131868131871, 0.473, 0.5187142857142858, 0.621, 0.7546666666666668, 0.877, 0.9592285714285715, 1.026, 1.122, 1.2014703832752613, 1.274, 1.314, 1.374, 1.411, 1.4471309523809524, 1.502, 1.53, 1.577, 1.614, 1.65, 1.6799870129870134, 1.7117976190476196, 1.745535714285715, 1.78, 1.807, 1.838, 1.8676938775510206, 1.898, 1.9198571428571425, 1.95, 1.975, 2.001, 2.028]",1.2,25,-2.4,2.342,2.334
12,"[0.104, 0.117, 0.137, 0.15259523809523867, 0.17557142857142857, 0.19, 0.204, 0.21920000000000006, 0.232, 0.25, 0.264, 0.27836190476190475, 0.29361142857142863, 0.316, 0.3383513513513514, 0.3620659340659342, 0.4, 0.434, 0.4738253968253969, 0.524, 0.614, 0.7536666666666668, 0.878, 0.9434761904761907, 1.03, 1.123, 1.203, 1.262, 1.324, 1.3753214285714288, 1.419, 1.4555654761904762, 1.496, 1.5309404761904764, 1.5749285714285717, 1.608, 1.652476190476191, 1.683, 1.716, 1.74, 1.78, 1.804, 1.836, 1.868, 1.893, 1.919, 1.954, 1.971, 2.004, 2.028]",1.2,25,-2.4,2.341,2.333
13,"[0.104, 0.113, 0.1312210884353741, 0.15, 0.16947108843537415, 0.18635875402792695, 0.201, 0.219, 0.23121224489795933, 0.245, 0.259, 0.272564139941691, 0.294, 0.31423283858998147, 0.335, 0.362, 0.391, 0.432, 0.475078231292517, 0.522, 0.626, 0.7469560439560442, 0.876011836734694, 0.935, 1.033, 1.127, 1.198, 1.257, 1.307, 1.3656224489795918, 1.406, 1.456, 1.5042713085234094, 1.532, 1.574, 1.608, 1.65, 1.6774646781789644, 1.711, 1.7462806122448984, 1.772, 1.809, 1.836, 1.8662323390894822, 1.895, 1.9182789115646262, 1.946, 1.9780760667903525, 2.0035934693877553, 2.028]",1.2,25,-2.4,2.338,2.331
14,"[0.103, 0.11272634508348811, 0.136, 0.15267755102040828, 0.173, 0.185595918367347, 0.2, 0.219, 0.232, 0.248, 0.264, 0.278, 0.293, 0.314, 0.337, 0.362, 0.39686693877551027, 0.4347461224489797, 0.4755527210884356, 0.527, 0.6164484280198567, 0.7633809523809527, 0.8652220408163267, 0.941661807580175, 1.051, 1.111, 1.201, 1.262, 1.311057142857143, 1.376, 1.4164555102040817, 1.4449472789115647, 1.493, 1.543, 1.576, 1.616, 1.648605442176871, 1.679, 1.711, 1.7448673469387757, 1.7802473469387758, 1.811, 1.836, 1.866, 1.9, 1.919170068027211, 1.946, 1.969, 2.009, 2.029]",1.2,25,-2.4,2.338,2.331
15,"[0.101, 0.11327302813017094, 0.131, 0.15193224489795906, 0.17, 0.187, 0.202, 0.219, 0.233, 0.246659863945578, 0.2623341836734694, 0.2784897959183673, 0.295, 0.313, 0.3381771428571429, 0.361, 0.398, 0.433, 0.47263346938775513, 0.52, 0.6125479399306892, 0.7630952380952383, 0.879, 0.941, 1.027, 1.13, 1.203, 1.256, 1.307, 1.359, 1.4007551020408162, 1.448, 1.499, 1.531, 1.569, 1.612, 1.638, 1.679, 1.7111462585034019, 1.7406653061224493, 1.782, 1.81, 1.835, 1.867, 1.895, 1.918, 1.9531302982731558, 1.973, 2.005222919937206, 2.028]",1.2,25,-2.4,2.337,2.329
16,"[0.103, 0.117, 0.13092816326530604, 0.15186970172684436, 0.173, 0.187, 0.201, 0.219, 0.232, 0.248, 0.2633341836734694, 0.2784709576138147, 0.2935187074829931, 0.31229306122448974, 0.337, 0.361, 0.397, 0.4345893877551021, 0.4722363945578232, 0.521, 0.627, 0.761, 0.866, 0.9407391064533921, 1.028, 1.128, 1.201, 1.254, 1.3079542857142858, 1.369, 1.406681224489796, 1.444, 1.496, 1.5306139455782313, 1.573, 1.616, 1.648, 1.68, 1.711, 1.741, 1.78, 1.803431972789116, 1.84, 1.865, 1.8961586270871984, 1.919, 1.9520891514500538, 1.973, 2.003, 2.026]",1.2,25,-2.4,2.337,2.33
17,"[0.106, 0.118, 0.139, 0.15635346938775513, 0.173, 0.19024244897959172, 0.205, 0.219, 0.233, 0.25, 0.2641115160349855, 0.279, 0.294, 0.31999659863945606, 0.348, 0.37, 0.401, 0.4383681632653062, 0.478, 0.542, 0.6394120242691672, 0.767, 0.8766187755102041, 0.966, 1.04, 1.11, 1.201889941690962, 1.263, 1.316, 1.374, 1.409, 1.451, 1.506, 1.538, 1.5802346938775516, 1.61, 1.649, 1.685, 1.715, 1.741, 1.778431354359926, 1.81, 1.837, 1.868, 1.894, 1.918, 1.949126530612245, 1.975, 2.001, 2.027]",1.2,25,-2.4,2.335,2.328
18,"[0.103, 0.115, 0.135, 0.154, 0.176, 0.19129142857142867, 0.20332571428571428, 0.219, 0.23280694980694988, 0.24943956043956067, 0.265, 0.279, 0.29461142857142864, 0.3136457142857144, 0.338, 0.3670659340659342, 0.402, 0.435, 0.4709371428571429, 0.527, 0.6295444015444016, 0.765, 0.876, 0.945, 1.0549285714285719, 1.116061224489796, 1.2032244897959183, 1.259, 1.315, 1.377, 1.423, 1.456, 1.496, 1.532, 1.578, 1.614, 1.653, 1.68, 1.711, 1.7405357142857152, 1.78156043956044, 1.803, 1.836, 1.869, 1.897, 1.9201693121693122, 1.953, 1.975, 2.002, 2.028]",1.2,25,-2.4,2.336,2.328
19,"[0.106, 0.115, 0.137, 0.153, 0.174, 0.188, 0.205, 0.219, 0.23244557823129255, 0.2494819466248037, 0.264, 0.279, 0.294309262166405, 0.3143282312925172, 0.34327714285714284, 0.36713657770800634, 0.40114115646258497, 0.435, 0.474, 0.5229081632653061, 0.63, 0.763, 0.87, 0.947, 1.046, 1.122279883381924, 1.204, 1.2618279883381924, 1.315, 1.360745306122449, 1.408, 1.458289115646258, 1.505, 1.5360522448979592, 1.582, 1.62, 1.6489624489795918, 1.6861606319947333, 1.712, 1.7454693877551017, 1.781, 1.807, 1.838, 1.865, 1.899, 1.9158130612244895, 1.9476897959183672, 1.974620181405896, 1.999, 2.027]",1.2,25,-2.4,2.335,2.328
