Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,1,25,"[0.0, 34.351434420195574, 71.58006897378243, 111.30465527530146, 153.91396756569657, 197.42513881383093, 242.88537205886064, 287.87549102578544, 332.1462792669297, 376.2448872768721, 420.2547917706378, 465.4727529394504, 512.9441091730449, 560.6944925487356, 608.999243828743, 656.4583479161046, 703.1708290409321, 748.4301500300854, 792.3046180666846, 833.8636024869423, 875.1646915128455, 914.537585111959, 953.1809115918246, 990.4519116209784, 1027.042038035032, 1063.7563152208131, 1100.081544745954, 1136.158608570995, 1172.5889367596992, 1209.2854769149858, 1245.6647499445376, 1282.5726253353619, 1320.0811399402319, 1358.0343234863371, 1396.5948345062611, 1435.7872339633786, 1476.0443375954019, 1517.3204285165666, 1559.1319146561723, 1600.8434259935057, 1643.0841342437002, 1684.4036718851858, 1725.727608177956, 1766.5205543779493, 1807.002066144792, 1845.805690348444, 1884.1443070345254, 1920.5227751018933, 1955.003869239752, 1982.030231805354]","[4.1837978, 4.1782856, 4.173955, 4.1702538, 4.167222, 4.1645842, 4.1625371, 4.1608047, 4.1593475, 4.1580877, 4.1569853, 4.1561193, 4.1553316, 4.1545839]",3252.315476654323
3,0.5,1,25,"[0.0, 22.723077670555313, 59.840191055179616, 99.16688205662217, 140.944867465725, 185.298570138429, 230.10887615808963, 275.27482208946753, 320.03479879031295, 364.3843509106258, 408.5905915514294, 453.7574647785491, 500.0030941287215, 548.0471257058865, 596.6457917256265, 644.236587894604, 690.2936056097188, 735.2855229197711, 778.9020054996425, 820.7951764029141, 861.802314131587, 900.8724534595077, 939.168229812682, 976.8042064494633, 1013.2471341784518, 1049.8239694905728, 1085.6397573760942, 1121.8407721312396, 1158.2270155457063, 1194.22509787104, 1231.3762919061387, 1267.763448464685, 1305.4714995260001, 1343.6758294174233, 1382.0924410993312, 1421.3757542356861, 1461.42897377577, 1502.7420009154798, 1544.1206065713777, 1586.2737769126625, 1627.9944381799532, 1669.1096993534015, 1709.7873941193989, 1749.4431243860922, 1789.1349576882967, 1827.573560974225, 1865.8856813580478, 1901.59396365957, 1936.0253206923967, 1967.6264696544063]","[4.1836405, 4.1779709, 4.1737185, 4.170214700000001, 4.1671042, 4.1647024, 4.162615799999999, 4.1609621, 4.159584, 4.1583242, 4.1573396, 4.1565127, 4.1557255, 4.155016900000001]",3252.749598020155
4,0.5,1,25,"[0.0, 21.204630918291173, 58.103040045537, 97.10880414664314, 138.791514991707, 182.94310223061098, 228.42900352641118, 273.7796012051698, 318.7277393501406, 363.1038686296596, 407.31966380466474, 451.8555449259337, 498.24304381944864, 546.3652545370816, 594.3291182630384, 641.7108666507883, 687.8065407039111, 732.8801253677876, 776.2977058481407, 818.4311307895163, 858.7807310515492, 898.1366046295178, 935.6835902271838, 973.5612491617368, 1009.9059814104302, 1046.099057295442, 1082.2605969765127, 1118.325443245049, 1154.8466867598331, 1190.7480635148117, 1227.5517841830806, 1264.4483012802666, 1301.473365590552, 1339.699004599514, 1378.0296187026447, 1417.2627721081121, 1457.2522183171973, 1498.554175956151, 1539.953343449552, 1581.9878380425512, 1623.5350994956802, 1664.7867966625618, 1704.6889772703576, 1744.0715609665617, 1782.5906864069857, 1820.5710275278911, 1858.1942063783486, 1894.3815014833476, 1929.073270377351, 1952.4951931686055]","[4.1835222000000005, 4.1780887, 4.173561100000001, 4.170017700000001, 4.166986, 4.1648598, 4.1628127, 4.1611981, 4.1598201, 4.1587572, 4.157773000000001, 4.1567883000000005, 4.1561193, 4.1554894]",3250.907078108994
5,0.5,1,25,"[0.0, 27.136918963970516, 63.49362464261333, 102.25482645940383, 143.9925640324435, 188.30172990038295, 233.5052162803355, 279.238493164832, 323.8374775757625, 368.0691283040095, 411.92251774499584, 456.7139080077534, 503.04998323155473, 550.5124099561017, 598.6276857930832, 646.0072708641933, 692.639210094751, 737.1593737224457, 780.6344411794958, 822.1275458678849, 863.1862887322868, 901.7471539818871, 940.1301994294433, 977.153675234187, 1013.7626493174307, 1050.4040671483315, 1086.1551589571545, 1122.2879060875025, 1158.1847657020378, 1194.5493707299806, 1230.8809416629167, 1268.084544048312, 1305.4844041050578, 1343.2595228144726, 1381.8385292207404, 1420.6781531321487, 1461.0235525481019, 1501.7939103633498, 1543.3712637391286, 1585.375424412256, 1627.038951578184, 1667.6733306450274, 1707.263882259157, 1745.9756273433195, 1784.453356302689, 1821.8110394300875, 1858.7695935892798, 1894.8261513551365, 1929.6654254964374, 1952.9499719660112]","[4.1835222000000005, 4.1778131, 4.173561100000001, 4.169939, 4.1672616, 4.164899299999999, 4.1630883, 4.1614347, 4.1601744, 4.1589541, 4.158206, 4.157143100000001, 4.1565523, 4.155922400000001]",3249.415526770968
6,0.5,1,25,"[0.0, 26.954676382829007, 63.708659297675695, 102.09861748879405, 143.56200378342407, 187.63867224974877, 232.99434432433918, 278.35057192189026, 323.544162908976, 367.7036204239332, 412.19622739229635, 456.1576925608273, 502.1335593411354, 549.6417713323615, 597.7688559013257, 644.9014177626484, 691.4579741486302, 736.0055060179411, 779.3679901020416, 821.0165014046449, 861.6143493240456, 900.3363876960141, 938.7401203911095, 975.9468705904267, 1012.4630248460348, 1048.827404452402, 1084.5906506324166, 1120.604668622697, 1156.510233956888, 1192.5263801929189, 1229.1835349357655, 1266.0706258576256, 1303.2247103722004, 1341.0492054068766, 1379.5315702685461, 1418.4079096076503, 1458.3181043584332, 1499.1957217037225, 1541.0312036768144, 1582.8012719264023, 1624.5134836182358, 1664.7779320740194, 1704.1809296104796, 1742.8334456373775, 1780.5889731637242, 1817.8392000765546, 1854.414991713065, 1890.6368380002107, 1925.1995830071317, 1952.8798964630803]","[4.1833253, 4.177734399999999, 4.173600700000001, 4.1700568, 4.1671042, 4.164978, 4.1631274, 4.1616707, 4.1602535000000005, 4.1591902, 4.1582456, 4.157418700000001, 4.156631, 4.1560407]",3245.683012062718
7,0.5,1,25,"[0.0, 34.92685973294397, 71.63632169802088, 110.15483858718449, 151.3148030545243, 195.0760413636434, 240.7776889340181, 286.0420481023508, 330.7312762113487, 375.3625784867413, 419.21451807751134, 463.91042656441687, 509.69315841976413, 556.6696359720465, 604.2720020794077, 652.119242153411, 698.0110310198941, 743.1204102513236, 786.7084197748738, 827.983305669806, 868.3809571652853, 907.3265801393311, 945.3190352106697, 982.8062646356982, 1019.2694560781958, 1055.2132834412644, 1091.2825850494276, 1127.1007798189112, 1163.0959781080692, 1199.516605106007, 1235.7119793881197, 1272.7575583952616, 1309.7685566179882, 1347.4224167630637, 1385.5762811941925, 1424.8517943234267, 1465.0427080721067, 1505.5939503314303, 1547.3367230976355, 1589.1851386561525, 1630.4008259847824, 1670.837597736796, 1710.232077710718, 1748.4460886677643, 1785.8180979063222, 1822.4960980978021, 1858.7767484240962, 1894.5123007652383, 1929.6798530715314, 1952.8094951038956]","[4.1833649, 4.1778131, 4.1734428, 4.1700964, 4.1673403, 4.165096299999999, 4.1632061, 4.161828, 4.16045, 4.1594267, 4.158442, 4.157733400000001, 4.1569462, 4.1562371]",3245.643560604518
8,0.5,1,25,"[0.0, 23.95842844988681, 60.59459223335591, 98.89147340475768, 139.989202338641, 183.6043690395427, 228.96361493789993, 274.8772331893489, 319.5814543245559, 364.39462791519827, 407.9842313666371, 452.0364966052007, 497.8604489440248, 544.9149699141473, 592.1040806016912, 640.0583474723034, 686.3687106004435, 731.2278888242776, 774.1133554187928, 815.7637834040853, 856.2909295700005, 895.4548192076519, 933.3617528177432, 970.4502531535055, 1006.9597896935351, 1042.8572623633436, 1079.1236127608818, 1114.9421887248523, 1150.9944337226375, 1186.9093210311194, 1223.3908896665562, 1259.674167641023, 1297.0509434593719, 1334.4561556505664, 1372.7175162555477, 1411.839481739696, 1452.0237097251475, 1492.644072434618, 1534.112436264938, 1575.263427773942, 1616.671661208677, 1657.439320850268, 1696.8371044531177, 1735.0831901833508, 1771.38751236593, 1808.3496205048764, 1844.5345193982985, 1880.4899677286203, 1915.160828757104, 1938.4943720433212]","[4.1832466, 4.177576999999999, 4.1732855, 4.169939, 4.167182899999999, 4.1650171, 4.1632457, 4.161710299999999, 4.1605291, 4.1593871, 4.1584816, 4.1576943, 4.1569462, 4.1565127]",3240.111667975939
9,0.5,1,25,"[0.0, 26.831766178797693, 63.08745945660871, 101.67914159803252, 142.0534830879518, 185.74756101983655, 231.13392896483788, 277.06946790832285, 321.9029665627655, 366.28990888793817, 410.0608334828049, 453.95166805681265, 499.5966146511163, 546.3033483027419, 593.9842847242716, 641.8780234835662, 687.4918491915463, 732.2064326152057, 775.4337606406492, 817.5964484092493, 857.614093654482, 896.519236393564, 934.4461491517783, 971.9173782432084, 1007.894612213454, 1044.205231400305, 1080.3578370938917, 1115.8297593434654, 1151.8815460517653, 1187.829963887962, 1224.152236090858, 1260.789433873932, 1297.9532524074957, 1335.1026203076249, 1373.5731136161621, 1412.2783487286488, 1451.988367632906, 1493.1362828595252, 1534.2765825732058, 1575.3801600312377, 1617.1979311458927, 1657.0788164466762, 1696.677028724525, 1734.1658517695937, 1771.44005995808, 1807.5716402880958, 1843.4599741576985, 1879.2269716486048, 1913.9409604549373, 1938.466529397922]","[4.1831679, 4.177537399999999, 4.1732855, 4.169978100000001, 4.167182899999999, 4.1649384, 4.1631274, 4.161710299999999, 4.16045, 4.1594267, 4.1584816, 4.1576152, 4.1569066, 4.1563554]",3236.75327365085
10,0.5,1,25,"[0.0, 32.312085653677855, 68.8643521828617, 106.72772145248973, 147.66309726922157, 191.1295720844564, 236.45140390414815, 282.0137249640985, 327.1464939171393, 371.50430421677834, 415.0128516200965, 458.6689816059578, 504.0754737690636, 551.056443936772, 598.313066717126, 646.1291840178562, 691.9263137996174, 737.0450822590612, 780.2362954058176, 821.7755482149612, 862.1991746402991, 901.2335741727741, 939.1737933915776, 976.1384048852331, 1012.4074386749453, 1048.7907831572463, 1084.2865776131994, 1120.1809338917897, 1156.2495803261772, 1192.0938168797418, 1228.602206452717, 1264.8796166108573, 1301.7771020797559, 1339.3060617746012, 1377.3852961772113, 1416.2144376688668, 1455.9849690382496, 1496.5121258012778, 1538.03456431902, 1579.183497713261, 1620.4418941772017, 1660.6334953111962, 1699.7029190133983, 1737.6178574801536, 1774.4563774056871, 1810.3215404294745, 1846.3072514269672, 1881.976952897778, 1917.0239625095203, 1938.4051435803888]","[4.183049700000001, 4.177301399999999, 4.1732068, 4.1698599000000005, 4.167182899999999, 4.1648207, 4.1632061, 4.1616707, 4.16045, 4.1593084000000005, 4.1584816, 4.1576943, 4.1569853, 4.1563163]",3232.8220918900547
11,0.5,1,25,"[0.0, 24.340283255469444, 60.019607948006865, 97.91047429377659, 138.32694404183303, 181.66645919126756, 227.2271399016936, 272.77049925242625, 318.1450451195144, 362.1300647295177, 406.25698742869304, 450.0560011159524, 494.9202502840295, 541.393641335866, 589.0414682922283, 636.2778496479318, 682.3467213293225, 727.5918511997043, 770.7264927044655, 812.1350121917369, 852.38656526011, 891.2042841947109, 928.9742853100863, 966.1004411909998, 1002.4569990615487, 1039.026211193459, 1074.5067608784186, 1110.4594932957389, 1146.1747914414093, 1182.368631668043, 1218.362524124669, 1254.665614931501, 1291.7602146036004, 1329.1820854821433, 1366.627502826874, 1405.6233632087883, 1445.6178971831876, 1485.7810121204989, 1527.3367207768538, 1568.545039585993, 1609.5467625279898, 1649.9871666567183, 1688.7531298481686, 1726.5885787352577, 1763.3575230942893, 1799.1819590532941, 1834.7624533648668, 1870.3172975769635, 1905.846736090998, 1938.36546001431]","[4.1830106, 4.1773801, 4.1730886, 4.1698599000000005, 4.1671042, 4.164899299999999, 4.1632061, 4.1616707, 4.1605291, 4.1593871, 4.158442, 4.1576943, 4.157064, 4.1563554]",3227.133847283796
