Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,1,35,"[0.0, 32.75223948050541, 71.5455122794782, 109.2145354852737, 147.71193124842534, 189.3355394974069, 233.57439934673312, 285.76277743206253, 341.80126242544065, 399.58671892457437, 456.48398635406363, 512.2052523440885, 565.1017854797636, 616.9436245975481, 668.9140760413878, 719.4384930592624, 769.0497810140376, 817.7477385802873, 863.3540876036421, 906.3146030735608, 948.8839880852721, 988.0857092058174, 1026.6932037942147, 1063.2933059910265, 1099.8317176336254, 1135.7466945254914, 1171.2509468080002, 1206.6354579542221, 1242.6938545213643, 1278.3594690574755, 1314.7152055177908, 1351.8994744574698, 1389.6139103494888, 1428.2228746740689, 1467.8434690939507, 1507.9485710572794, 1548.2335368367394, 1588.6001307173397, 1629.0880406110246, 1668.551876458674, 1707.1482150453649, 1744.38295790452, 1779.8263692618016, 1813.6136311911469, 1846.4338640982473, 1878.3114033224579, 1909.4733933481875, 1940.0166375612657, 1970.3144140693935, 1989.5000939061151]","[4.185381899999999, 4.1822319, 4.1798301, 4.178018600000001, 4.1767979, 4.1755772, 4.1746716, 4.1738052, 4.1730571, 4.172545, 4.1718364, 4.1715212, 4.1708913, 4.1703792]",3206.964114897464
3,0.5,1,35,"[0.0, 37.9759803947461, 76.45005558763239, 114.14883938760181, 152.74660149901354, 193.74250047034127, 238.48553229780293, 289.842723720799, 345.44461792967525, 403.4689107184025, 461.2979492484095, 516.6132810554539, 569.845021830932, 621.5920939856169, 672.785025497969, 722.6636830409172, 772.1827456032861, 820.5393342207158, 866.560974202614, 909.6078110318992, 951.3588767443196, 991.4108230190539, 1028.9486666522537, 1066.321199975358, 1102.2299689802637, 1138.2452128011605, 1173.906761896305, 1209.000755654778, 1244.736483858217, 1280.8531049345238, 1317.4794192805637, 1354.670963190401, 1392.5186847793043, 1431.040831425785, 1470.717552814752, 1511.0457286719786, 1551.6432919297342, 1592.5318809819125, 1632.6816339937752, 1672.4370760924592, 1710.54988492819, 1747.31682894259, 1782.766006802796, 1816.5580063923296, 1849.3047986544454, 1880.7406173740403, 1912.089458868834, 1942.6032343564336, 1972.947584179976, 2002.9424397755931]","[4.1855397000000005, 4.1822715, 4.1799874, 4.1783338, 4.1769161, 4.1756954, 4.1747108, 4.1739626, 4.1731358, 4.172545, 4.1720333, 4.171679, 4.171088200000001, 4.1707339]",3204.713622849937
4,0.5,1,35,"[0.0, 25.555718293648283, 64.43922532541603, 103.033060653966, 141.8624630279162, 182.98183182833952, 227.6367407506334, 278.8889086570995, 334.88297370584496, 393.2177085305641, 451.3570715082841, 506.1520283667129, 560.2089154181787, 611.099364521578, 662.7006436447665, 713.174858263145, 763.170263887571, 811.5688344545948, 857.699130299938, 901.493606098161, 942.6736212222451, 982.8541846610602, 1021.0213260681998, 1058.170763320722, 1094.084037654256, 1129.99629558367, 1165.1837729828853, 1200.9102355594737, 1236.610297330994, 1272.6533866722134, 1309.0997600860314, 1346.4595238922116, 1384.239762444803, 1422.5031700250624, 1462.079742701786, 1502.0544572372914, 1542.753871477914, 1583.006766959295, 1623.2234054970004, 1662.5472847616852, 1701.1908142918323, 1738.4965870236051, 1774.0492827552562, 1807.3490621831538, 1840.4923803172487, 1872.221659226445, 1903.2649795310654, 1933.7872554292358, 1963.7352169124065, 1987.883110851576]","[4.1840434, 4.1803026, 4.1779003, 4.1760101, 4.1745534, 4.1732144, 4.1722693, 4.1714425, 4.1706944, 4.1699462, 4.1693554, 4.1688828, 4.1683712, 4.1679378]",3177.6350037696666
5,0.5,1,35,"[0.0, 34.306703011207446, 72.4016698188442, 109.91569964605105, 148.60222977524506, 189.4666626052108, 233.54773280599568, 284.51472721705136, 339.5313808023201, 396.73324729807507, 453.92976109202004, 509.1654643454574, 562.2620758096996, 613.3069971586203, 664.4317300479725, 715.4017725372396, 765.7118375496548, 814.1058577716144, 860.6816941663021, 905.2806886945577, 946.7012255625114, 987.0184756682709, 1025.0877897764726, 1062.066975605956, 1098.44953604112, 1133.2866186464494, 1168.2920458744677, 1203.7927927556532, 1238.5905143160837, 1273.945023979174, 1309.7116539068397, 1346.407337642734, 1382.8322567511527, 1420.8268759338732, 1459.1938248915787, 1497.947929093648, 1537.9703994178208, 1577.8765202655031, 1618.277477469133, 1657.82186551013, 1695.9441519982697, 1733.1471167304771, 1768.8800765841092, 1803.1386090068904, 1836.4122198373634, 1868.7232707896783, 1900.1107704469323, 1930.7822684603884, 1960.60768832732, 1987.3051298873565]","[4.1845946000000005, 4.1808929, 4.1784911, 4.1766009, 4.1751046, 4.1739626, 4.1729388, 4.172112, 4.1715608, 4.1707339, 4.170182700000001, 4.169631, 4.1693554, 4.1687255]",3176.268891980387
6,0.5,1,35,"[0.0, 32.50309349631209, 70.96305462473651, 108.97595003634376, 147.5017729912778, 187.54616325914503, 231.52536641763788, 281.99470910199386, 336.9430315310466, 394.59502217259103, 451.1686822801679, 506.7453052371319, 560.0674503461902, 610.5044988274932, 661.4757668196345, 712.1323502261106, 762.5732158309751, 810.9513860227186, 857.8779048795794, 901.6844280755491, 943.7001668828838, 983.8478777138067, 1022.0483041097274, 1058.904551248601, 1094.932571816178, 1130.2880564497277, 1165.5065842585232, 1200.3743997536153, 1235.411947972938, 1270.480294687527, 1306.1333935960001, 1342.5850027560718, 1380.1662028412047, 1417.246338405068, 1455.603628914187, 1494.6833746916195, 1534.8334981640182, 1574.636219531356, 1614.8832812859837, 1654.1334137444014, 1692.6531782253232, 1729.579459286348, 1765.6652397286875, 1799.9033614871278, 1832.9241977218217, 1865.0617886877153, 1896.1934006831216, 1926.711587751543, 1956.7880406150052, 1974.725439207628]","[4.184516, 4.1808929, 4.1782546, 4.1766405, 4.1749864, 4.1739626, 4.1730175, 4.1720333, 4.1713638, 4.1707339, 4.170103500000001, 4.1695919, 4.1689620000000005, 4.1689224000000005]",3172.560906322024
7,0.5,1,35,"[0.0, 31.652946260037595, 69.73035339501695, 107.733619813865, 146.16781247714385, 186.56319926977181, 230.04497222912443, 280.15204109002224, 336.12056554055624, 392.92224679353416, 449.07503270474484, 504.9230707952185, 558.2692348096584, 609.4591559732714, 660.2408424478522, 710.6787385556524, 760.5949974220816, 809.0379338153141, 855.3644324893992, 899.7451969158453, 941.320481256339, 981.2826480980777, 1019.65097693036, 1056.7226148325394, 1092.8907464656806, 1128.2490023607174, 1163.2435130925821, 1198.3597922000238, 1233.4376626172498, 1268.5868924168262, 1304.2379918106433, 1340.1247624677426, 1377.4479491850134, 1414.9884742102095, 1453.6130570684888, 1492.6997802728679, 1532.4055878745266, 1572.677884061989, 1612.2038336166238, 1651.7739430808615, 1690.2702928364574, 1727.781152509031, 1763.3737321558197, 1797.8667419926564, 1830.6928022222255, 1862.885351724834, 1894.1358459623393, 1924.6952004704144, 1954.5708720735306, 1974.5126615791146]","[4.184476399999999, 4.1808538, 4.1784911, 4.1764827, 4.1753016, 4.1740022, 4.1731358, 4.1720724, 4.1714821, 4.17097, 4.1702218, 4.1697102, 4.1693163, 4.168843700000001]",3169.6614524799293
8,0.5,1,35,"[0.0, 32.41638764898852, 70.6436885079143, 108.55792039320346, 146.70334197764743, 187.1276114826041, 230.7271983848239, 280.15034393662194, 335.5555690120788, 393.3056873437412, 450.17619259122563, 504.53884888434146, 557.3949277527604, 609.4653422233991, 660.2012246517381, 710.1683326783482, 760.6969931771778, 808.4412732618225, 855.4144544377298, 898.9978405814561, 941.077194708354, 980.7301518879647, 1019.022231370428, 1055.6018246183987, 1091.8787851597467, 1127.3490940677918, 1162.56650341951, 1196.930285837675, 1232.574725271364, 1268.0033788959227, 1303.451624893691, 1339.797458442734, 1376.6697484480335, 1414.2412172277202, 1452.5898238265554, 1491.8438971598769, 1531.069040188704, 1571.5604050704385, 1611.4349692514095, 1650.874585243592, 1689.4660992096453, 1726.2526210887684, 1762.4005653715965, 1796.39984773658, 1830.2073281946316, 1861.666351182346, 1892.9886299445063, 1923.3763292145052, 1953.4511683313883, 1973.0725858275007]","[4.184436799999999, 4.1809325, 4.1785698, 4.1765614, 4.1751833, 4.1740808, 4.1729784, 4.1722693, 4.1714425, 4.1707339, 4.170182700000001, 4.1697102, 4.169395, 4.168843700000001]",3166.890891862115
9,0.5,1,35,"[0.0, 29.568352343683387, 67.33872684023777, 105.47335180356185, 143.4951938389246, 183.59952047236573, 226.86417833294252, 276.6444600551049, 331.4077576827183, 388.9701318149856, 446.0222545317923, 500.5339322706428, 553.9854222499765, 605.0466089490027, 655.7531854870798, 706.1931761517307, 756.3070915833242, 804.2809100248986, 851.0809331949796, 894.4251047469112, 936.7927851694088, 976.4839391201591, 1014.5292176693023, 1051.495978664686, 1087.3458455345826, 1122.6765901926847, 1157.8315392913355, 1192.2848288070363, 1227.6672236730901, 1262.5465231635944, 1298.7537104326357, 1334.9353725808296, 1371.5413125548316, 1409.259528857442, 1447.8757233516985, 1486.7310590714897, 1526.7614367395604, 1566.482243786666, 1606.5952519603238, 1646.2039193492014, 1683.9715793299729, 1721.3500794992883, 1757.5573424558033, 1791.7202617702505, 1825.0244913020529, 1856.6842953422351, 1887.6835450767267, 1918.243313841639, 1948.1340741450904, 1973.4918739028599]","[4.184476399999999, 4.1808929, 4.1784911, 4.1766796, 4.1751442, 4.1740022, 4.1729784, 4.1721907, 4.171324299999999, 4.1707339, 4.1702614, 4.1697102, 4.169237600000001, 4.1688828]",3163.530770095078
10,0.5,1,35,"[0.0, 31.7561549732564, 69.46025423399561, 107.24367974012802, 145.48338553022376, 185.44389951081, 228.83440653854126, 278.3497713812241, 333.0587726793132, 389.71304721425435, 447.19841526598617, 502.165338165303, 554.3751707413082, 606.5678345009171, 657.0175281688078, 707.4546901938984, 757.3808312295428, 805.9171469788889, 851.6249784259815, 895.881432729263, 937.5828853079443, 977.1093888291289, 1015.4553556836845, 1052.3899108078278, 1088.3055990036712, 1123.6216039609901, 1158.525560352311, 1193.8094298387452, 1228.3848098704768, 1263.777094936248, 1298.6971406093937, 1335.5207814511093, 1372.7710824468911, 1410.4598136620732, 1448.9491626580098, 1488.0697806553183, 1527.5840510951566, 1567.701461745023, 1607.0729808150666, 1647.1483324991411, 1685.2972656151208, 1722.2548423432484, 1758.3760589268657, 1792.3832393993296, 1825.3735375833646, 1857.4906859403707, 1888.420934053792, 1918.9483356538892, 1949.2180847747115, 1973.1909275042733]","[4.1845946000000005, 4.1809325, 4.1784124, 4.1766009, 4.1751442, 4.1740022, 4.1731753, 4.1722302, 4.1714821, 4.1708517, 4.1702218, 4.1696706, 4.169198000000001, 4.1688828]",3160.906980581461
11,0.5,1,35,"[0.0, 32.216159643269236, 69.89939520074296, 107.5785113629143, 146.38207793117107, 186.31414642104477, 229.12718206785377, 277.4987973379179, 333.27299489653996, 390.6966951028896, 447.5034733975987, 502.1476059862287, 555.6696028635736, 606.2150532079372, 657.2089870106922, 706.9399734947813, 757.1657503033632, 805.1607754204822, 851.4505279586137, 895.1524560164501, 937.0372264439914, 976.2149721601327, 1014.6021253062338, 1051.5762858194994, 1087.3259389552989, 1122.730968266536, 1157.6159341295015, 1192.048894988309, 1227.387027641812, 1262.3772080169053, 1298.1907615231469, 1334.9765945408897, 1371.118967654593, 1409.1489362367145, 1447.5451110957156, 1486.54391184988, 1526.4195655657545, 1566.3334545804232, 1606.1568038006699, 1645.6476446524825, 1684.286749765899, 1721.3952079067994, 1757.2048227975192, 1791.8442502143666, 1824.8093704744788, 1856.1914412350388, 1887.1339844937647, 1917.3278304021137, 1947.146302518644, 1972.2021020842808]","[4.1843977, 4.1809716, 4.1782942, 4.1764827, 4.1751442, 4.1739626, 4.1728601, 4.1721516, 4.171324299999999, 4.1707730000000005, 4.1702614, 4.1695523, 4.1690011, 4.1687651]",3157.8930956591807
