Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,2,25,"[0.0, 29.159507375941416, 58.099531731766206, 89.56065253044062, 129.53955854099945, 186.35537581330436, 253.1368748239662, 318.9599827475487, 381.14925613671903, 438.39826149533724, 490.4011737690013, 537.319598132402, 579.113056650483, 619.0659537145591, 654.5118316828186, 688.6285542902724, 720.1301578190353, 750.5792664644789, 779.3161401775437, 807.8872958872696, 835.456259375627, 862.8444923650447, 891.2395100810227, 920.5788994655443, 950.51461924147, 980.4376601220004, 1011.252219932662, 1042.4349872872565, 1074.2424420105356, 1107.4725448326635, 1141.2184189195636, 1176.6316934539684, 1212.3039188474622, 1247.7520768230067, 1279.5956930297816, 1309.5548452535945, 1336.8463448574078, 1362.8127087901657, 1387.1031906809915, 1410.3087911817681, 1433.5435497376725, 1455.376224938236, 1478.3206662013527, 1502.0249321195245, 1524.5841515770896, 1549.8353741140215, 1576.598431465762, 1609.4248042215497, 1656.7339457740343, 1709.1123630645764]","[4.1965523000000005, 4.1952138, 4.1947412, 4.1940718, 4.1931267, 4.1927333, 4.1923785, 4.1919851, 4.1915517, 4.1911187000000005, 4.1906462, 4.1905279, 4.189898, 4.189543700000001, 4.1895833, 4.1893077000000005, 4.1887565, 4.18852, 4.1883626000000005, 4.1881261, 4.188087, 4.187732700000001, 4.1874571000000005, 4.1873388, 4.187299299999999, 4.1872206, 4.1869059, 4.1865907, 4.1864724, 4.186157700000001, 4.1862364, 4.1860394, 4.1857638, 4.1856065000000005, 4.1857243, 4.1854095, 4.1854095, 4.185173000000001, 4.1852913, 4.184976600000001, 4.184937000000001, 4.1848974000000005, 4.184701, 4.184701, 4.1843858, 4.1843858, 4.184267500000001, 4.184267500000001, 4.184307100000001, 4.1838346, 4.1839528, 4.1839528, 4.1835985, 4.1838346, 4.1834407, 4.1835985, 4.1835985, 4.1831651, 4.1831651, 4.1830077, 4.1830468000000005, 4.1828108, 4.1828504, 4.1826534, 4.1826534, 4.182929, 4.1828108, 4.1824565, 4.1826138, 4.1822991, 4.1824169, 4.1821809000000005, 4.1826138, 4.1821022, 4.1822596, 4.1819053, 4.1821022, 4.1820626, 4.1819444, 4.1817083, 4.1821809000000005, 4.1816688, 4.1818657, 4.1816297, 4.181787, 4.1818266, 4.1816297, 4.1814327, 4.1816688, 4.1810784, 4.1811175, 4.1814327, 4.1811175, 4.1814723, 4.1814327, 4.1810784, 4.1809998, 4.1809602, 4.1809998, 4.1810389, 4.1809211, 4.1809602, 4.1809998, 4.1807632, 4.1806846, 4.1809211, 4.1807241, 4.1805663, 4.1805272, 4.1805663, 4.1805663, 4.1807632, 4.1802907, 4.1807241, 4.1804876, 4.1802907, 4.1804876, 4.1803303, 4.1804485]",2471.790791783311
3,0.5,2,25,"[0.0, 25.566139631699684, 54.822739633776564, 86.01455888160604, 126.21124767962817, 182.41087215539744, 250.71197272903896, 314.12295083801325, 377.1104561907629, 432.41298913715843, 484.39205516227514, 532.5825132872801, 574.8082735147498, 613.5081813533513, 650.05188843989, 683.2498000400576, 715.1833466035971, 745.7695200852072, 774.8614570061206, 802.8252676435416, 830.4079322281948, 858.1641940152872, 885.7884464322108, 914.9476064787127, 944.4799609801971, 975.1850083458728, 1004.943413494565, 1036.1408937279107, 1068.749492580911, 1100.9303694435648, 1134.9175628717915, 1171.2272697985481, 1206.7288100135593, 1241.3122316882504, 1273.879526243676, 1303.611057166888, 1330.746521904935, 1356.8798336918478, 1380.6704645415348, 1404.6252715668438, 1427.2944896588301, 1450.3931754899595, 1472.324290118028, 1495.441872797051, 1518.8988662321565, 1543.468528589312, 1569.8595598775696, 1602.6487557822084, 1650.5775867656166, 1702.2885593406854]","[4.1967096, 4.195686299999999, 4.194465599999999, 4.1939931, 4.1934023, 4.1930876, 4.1920638, 4.1917095, 4.1918273, 4.191237, 4.1908827, 4.1904101, 4.1900558, 4.1897011, 4.1895833, 4.1890712, 4.1887956, 4.1886773, 4.188638200000001, 4.1882839, 4.1879296, 4.187732700000001, 4.1874175000000005, 4.1871419, 4.187063200000001, 4.186827200000001, 4.1867089, 4.186827200000001, 4.186393700000001, 4.1864724, 4.186276, 4.186118100000001, 4.1859999, 4.1855669, 4.1857243, 4.1856065000000005, 4.1854095, 4.1853309, 4.1850157, 4.185173000000001, 4.184779600000001, 4.184937000000001, 4.184504, 4.184504, 4.184307100000001, 4.1844254, 4.1841102, 4.1842284, 4.1839528, 4.1842284, 4.184031500000001, 4.1835194, 4.1839132, 4.183795, 4.1834407, 4.1834803, 4.1832833, 4.1834407, 4.183126000000001, 4.1833229, 4.1830468000000005, 4.1828895, 4.1830077, 4.1828108, 4.1827712, 4.1825747, 4.1828895, 4.1825747, 4.1824956, 4.1826925, 4.1824956, 4.1822991, 4.1823382, 4.1823778, 4.18222, 4.1820626, 4.1819839, 4.1820235, 4.18222, 4.1819839, 4.1819444, 4.1819839, 4.1816688, 4.1816297, 4.1819839, 4.1819053, 4.1817479, 4.1815901, 4.1815114, 4.181551, 4.1815114, 4.1813145, 4.1811967, 4.181354, 4.1814723, 4.1809602, 4.1810389, 4.1813145, 4.1810389, 4.1811571, 4.1807632, 4.1810389, 4.1808028, 4.1807632, 4.1808419, 4.1808815, 4.1806059, 4.1809211, 4.1809211, 4.1809602, 4.1804876, 4.1806455, 4.1806846, 4.1807632, 4.1804485, 4.1806059, 4.1802516, 4.1805272, 4.1805272]",2469.632192153591
4,0.5,2,25,"[0.0, 28.28341057779153, 57.456374155694334, 88.78966936671145, 129.3451667782872, 186.29746575717058, 252.35118916914212, 318.9717717934793, 378.94811855296064, 434.6230228814693, 486.7840358253038, 533.8045933333588, 576.297066237388, 615.763068464591, 651.6981988921048, 685.0559957635614, 716.6434044771152, 747.52570349457, 776.5711025793944, 804.2656910480869, 832.1317570844635, 860.1437231247828, 886.9851540211407, 916.3594833430657, 945.2621440391761, 975.9936864954318, 1005.79902938376, 1037.5053771218115, 1069.493879355891, 1102.672822410512, 1137.1523493924665, 1171.4147997941686, 1207.588083582613, 1242.829189224556, 1274.3135712701787, 1304.1277270483142, 1332.2268940443685, 1357.7253739670077, 1382.0237309054692, 1405.2972443664232, 1427.8593180033083, 1450.7684941961404, 1472.8403873680666, 1495.8191997653962, 1519.5905256464648, 1544.6482833924674, 1570.6493646518093, 1603.660723284337, 1650.9018403197156, 1701.8746405502661]","[4.1962767, 4.1950955, 4.1947412, 4.1938357, 4.1935601, 4.1928906, 4.1921029, 4.1918273, 4.1914339, 4.1911583, 4.1906071, 4.1900949, 4.1901736000000005, 4.1897407, 4.1891108, 4.1892681000000005, 4.1888351, 4.1884413, 4.1881657, 4.187732700000001, 4.1877718, 4.1876144, 4.1873388, 4.187023600000001, 4.1872602, 4.1869059, 4.186787600000001, 4.1867089, 4.186393700000001, 4.1859999, 4.1861968, 4.186079, 4.1856852, 4.1855278, 4.1855669, 4.185252200000001, 4.1850944, 4.185252200000001, 4.1847401, 4.1848583, 4.1848974000000005, 4.184504, 4.184267500000001, 4.184267500000001, 4.1842284, 4.184267500000001, 4.184031500000001, 4.184031500000001, 4.184031500000001, 4.1837559, 4.1838346, 4.1839132, 4.183401600000001, 4.1832438, 4.1832833, 4.1831651, 4.1835194, 4.183362000000001, 4.1830468000000005, 4.1830864000000005, 4.1828504, 4.1828504, 4.1827712, 4.1828504, 4.1826534, 4.1823778, 4.1826925, 4.1823778, 4.1826138, 4.1823382, 4.18222, 4.1824169, 4.1822991, 4.1821809000000005, 4.1822991, 4.18222, 4.1821413, 4.1820626, 4.1819839, 4.1818266, 4.1819444, 4.1819444, 4.1815114, 4.1813931, 4.181787, 4.181354, 4.181354, 4.1814723, 4.1815114, 4.1813931, 4.1813931, 4.1810784, 4.1811967, 4.181354, 4.1813931, 4.1809602, 4.1809211, 4.1808419, 4.1810389, 4.1811175, 4.1810389, 4.1807632, 4.1810784, 4.1805663, 4.1806059, 4.1806846, 4.1808028, 4.1805663, 4.1806846, 4.1807632, 4.1803699, 4.1804485, 4.180212, 4.1805663, 4.1800938, 4.1802516, 4.180409, 4.1801333, 4.1801729]",2466.625161869576
5,0.5,2,25,"[0.0, 26.604877178348943, 55.7183788052165, 86.63127006143748, 127.59022572637059, 184.76361984845494, 251.3394232615774, 315.91845068992643, 378.37468522342044, 432.4820907181164, 483.64868076470873, 532.0766405066244, 574.4590530800562, 613.0119999784266, 648.4491486005751, 682.2300844390173, 713.7979181157806, 745.203492184234, 773.7593123445193, 801.7800279094446, 829.1256315397687, 857.2267035643935, 884.4258350555139, 913.1392852116438, 943.4497086055318, 973.4983731186854, 1004.1742031465125, 1034.5068481119338, 1066.6265250757638, 1099.108974802566, 1133.8401310329214, 1169.4302971836555, 1204.2501412079182, 1238.4915592332177, 1271.1715933268956, 1301.6266496355329, 1328.4386566186613, 1354.258219316352, 1378.105364506428, 1402.0236247459925, 1424.682212814365, 1447.6224337802414, 1470.1234608858863, 1492.3779400994936, 1516.4394102934916, 1540.8443147450653, 1567.1952890004359, 1600.0443541802651, 1646.23595640535, 1698.4992254084618]","[4.1963553, 4.1952925, 4.1942687, 4.1937175, 4.1934023, 4.1924577, 4.1922607, 4.1915913, 4.1911583, 4.1908827, 4.1905279, 4.1902523, 4.1897802, 4.1897011, 4.189465, 4.1888742, 4.1887956, 4.1885595, 4.1882839, 4.1878114, 4.1880083, 4.187693100000001, 4.1873784, 4.186945, 4.186787600000001, 4.186748000000001, 4.1866693, 4.1864724, 4.1863151, 4.186118100000001, 4.185842500000001, 4.185882100000001, 4.1855278, 4.1856456, 4.1856065000000005, 4.1851339, 4.1850944, 4.184976600000001, 4.1847401, 4.1850157, 4.1844645, 4.184267500000001, 4.184543100000001, 4.1841102, 4.184307100000001, 4.184031500000001, 4.183795, 4.1837559, 4.1840706, 4.183677200000001, 4.183401600000001, 4.1836376, 4.1835194, 4.1835985, 4.1832438, 4.1834407, 4.1830468000000005, 4.183126000000001, 4.1831651, 4.1827712, 4.1830077, 4.1827321, 4.1828504, 4.1826925, 4.1825352, 4.1825352, 4.1823778, 4.1822596, 4.18222, 4.1824565, 4.1823778, 4.18222, 4.1822596, 4.1821413, 4.1821022, 4.1820235, 4.1816688, 4.1820235, 4.1818657, 4.1815901, 4.1816688, 4.1815901, 4.181354, 4.181787, 4.1816688, 4.1815114, 4.1812358, 4.1815114, 4.1809998, 4.1811571, 4.1813931, 4.1812358, 4.1810389, 4.1810784, 4.1809602, 4.1810784, 4.1807632, 4.1807632, 4.1808028, 4.1810389, 4.1806455, 4.1809602, 4.1806059, 4.1805663, 4.1807241, 4.1807632, 4.1808028, 4.1807632, 4.1804876, 4.1804485, 4.1802907, 4.1801729, 4.1800547, 4.180409, 4.1801729, 4.180015099999999, 4.1804485, 4.1800938, 4.180015099999999]",2463.456599992948
6,0.5,2,25,"[0.0, 26.580381660349076, 55.021250049683886, 86.1747145117888, 127.27592831023833, 182.67714491837933, 249.08160923348032, 314.2219116400221, 375.7627023117575, 432.1287640885704, 482.85433636882703, 529.4989020514927, 571.0490511204366, 610.4274669636127, 646.5897165410734, 679.8006965783309, 710.9018690116602, 742.4585114126405, 771.0427522720199, 799.5218939217748, 827.7089675472814, 853.8388045938334, 882.0896394162453, 910.403645827266, 940.5865069450667, 969.8178818952085, 1001.2667614291033, 1032.3678945348645, 1063.4672720936103, 1096.7992863713964, 1130.6046112897923, 1166.3738323477621, 1201.8181085234312, 1236.1414900144107, 1268.0970970040833, 1297.8491167708783, 1324.8603919460072, 1350.7467083108957, 1375.019173669415, 1399.157486883161, 1421.6555074943421, 1444.3945963355684, 1466.6115016000776, 1489.7283369018862, 1512.9672313345488, 1537.5828535599535, 1563.4589071973728, 1596.8665383289022, 1643.8000707456895, 1694.924171053739]","[4.1962767, 4.195174199999999, 4.1945834, 4.1939931, 4.1932449, 4.1926541, 4.1921425, 4.1917095, 4.1913943, 4.1908035, 4.1903706, 4.1902919, 4.1899767, 4.1896224, 4.1894255, 4.1892681000000005, 4.1887169, 4.18852, 4.1884809, 4.1878114, 4.187732700000001, 4.187693100000001, 4.1876144, 4.1873784, 4.187023600000001, 4.186827200000001, 4.1866693, 4.1866693, 4.1862364, 4.186157700000001, 4.186157700000001, 4.1857638, 4.1858034, 4.1856065000000005, 4.1853309, 4.1853309, 4.1851339, 4.184976600000001, 4.1850944, 4.1850157, 4.1848583, 4.1847401, 4.1843858, 4.184582700000001, 4.1843858, 4.1839528, 4.184307100000001, 4.184031500000001, 4.1838346, 4.183874100000001, 4.1839919000000005, 4.1835985, 4.1837559, 4.1835985, 4.183401600000001, 4.183362000000001, 4.183401600000001, 4.1833229, 4.183362000000001, 4.1831651, 4.1831651, 4.1828895, 4.1828108, 4.1826925, 4.1824956, 4.1824169, 4.1827321, 4.1826925, 4.1825747, 4.1823382, 4.1822596, 4.1823778, 4.1820235, 4.1822991, 4.18222, 4.1819444, 4.1821413, 4.1819053, 4.181787, 4.1819839, 4.1816297, 4.181551, 4.1819053, 4.1817083, 4.1815114, 4.1812754, 4.1813145, 4.1814723, 4.1816688, 4.1812754, 4.1810784, 4.1813931, 4.1811175, 4.181354, 4.1809602, 4.1809602, 4.1811175, 4.1811175, 4.1810389, 4.1808028, 4.1808028, 4.1807241, 4.1806059, 4.1806455, 4.1806455, 4.1808028, 4.1805663, 4.1808419, 4.1806059, 4.1806455, 4.1804876, 4.1808419, 4.1806059, 4.1803699, 4.1802516, 4.1800938, 4.1802907, 4.1803303, 4.1800938]",2460.7061915909853
7,0.5,2,25,"[0.0, 28.860135858548688, 57.52075153495207, 88.86231300963686, 129.04869765655087, 186.09282436030412, 250.2569731002202, 315.8652168036001, 375.62301101172, 433.57225027014954, 483.66909839238053, 529.9718479365526, 572.82216154567, 612.0690507351342, 648.0717045497522, 681.1073768879196, 713.4306844963944, 743.3755035312845, 772.5018733338015, 800.951771587447, 828.0152002832933, 855.8869567440338, 882.785099427613, 911.5765187250579, 941.5482418804961, 970.738443297342, 1001.515134837882, 1032.7627894155767, 1064.9045812781499, 1097.6655927894235, 1131.7090116140992, 1166.4983906070054, 1202.9282801387192, 1236.8829523045822, 1269.4855276355195, 1298.5550324755018, 1326.5629154105598, 1351.5756535556475, 1375.8185513185533, 1399.4969227221616, 1422.5175208808407, 1445.0656955699894, 1467.1573663664688, 1490.2161697223721, 1513.3488306238328, 1538.0933007006818, 1563.9131526346425, 1596.7906596329215, 1642.4669859473163, 1695.2150967279756]","[4.1964736, 4.1955285, 4.194623, 4.1936779, 4.1932845, 4.192575499999999, 4.1923394, 4.1915913, 4.1911974, 4.1911583, 4.1906071, 4.1902523, 4.1900558, 4.1893864, 4.1893468, 4.1890712, 4.1888742, 4.1882839, 4.1882052000000005, 4.1882052000000005, 4.1878505, 4.1875749, 4.1873388, 4.1871419, 4.187063200000001, 4.186748000000001, 4.186827200000001, 4.1861968, 4.1864333, 4.186157700000001, 4.1859999, 4.185842500000001, 4.1856456, 4.1856065000000005, 4.1852913, 4.185448600000001, 4.1853309, 4.1850944, 4.1850553, 4.184701, 4.184701, 4.1844645, 4.184543100000001, 4.184543100000001, 4.1843462, 4.184267500000001, 4.1837163, 4.183677200000001, 4.183795, 4.183795, 4.1836376, 4.1835194, 4.183677200000001, 4.1833229, 4.1833229, 4.1832438, 4.1830077, 4.1832047, 4.1830864000000005, 4.1829681, 4.1828108, 4.1828895, 4.1828504, 4.1826138, 4.1827712, 4.1824956, 4.1822991, 4.1826534, 4.1826138, 4.1823382, 4.1823382, 4.181787, 4.1819839, 4.1819444, 4.1821413, 4.1816688, 4.1818266, 4.1817479, 4.1819444, 4.1815114, 4.1816688, 4.1814723, 4.1814327, 4.1814327, 4.1811175, 4.1814327, 4.1811967, 4.181354, 4.1810389, 4.1814723, 4.1813145, 4.1809211, 4.1811175, 4.1809602, 4.1811571, 4.1808419, 4.1807632, 4.1806846, 4.1809211, 4.1809211, 4.1806455, 4.1806059, 4.180409, 4.1803699, 4.1806455, 4.1806059, 4.1804485, 4.1802907, 4.1803699, 4.1806059, 4.1801333, 4.180212, 4.1806059, 4.1801729, 4.180212, 4.1800547, 4.180212, 4.180212, 4.1801333]",2457.635915463055
8,0.5,2,25,"[0.0, 27.498151794353475, 55.9414228960959, 87.60361272956891, 127.75076922631126, 181.827371417191, 248.19941257158098, 313.68382074736394, 375.5148805717631, 430.69858278689264, 481.43149934892847, 527.3409968996946, 571.0122546535808, 609.8659823477349, 645.2228735488745, 678.5938975774857, 711.4080579538879, 740.9519761189072, 770.1994535424683, 798.2879890198287, 826.0824452331306, 852.7048503437502, 881.07466740882, 909.3070552794718, 938.9069685139518, 968.4151626440748, 999.3116733755394, 1030.7586993453117, 1062.151641629574, 1094.313807931012, 1128.8491384934027, 1163.784388239657, 1199.6155059397622, 1233.4748730534316, 1266.4266431699932, 1295.9850434837683, 1323.1665134900975, 1349.2635796348957, 1372.7895855180861, 1396.4516407834803, 1419.0776366180626, 1441.6779634340255, 1464.4721003162094, 1487.1780993302066, 1510.129482206791, 1534.612505070882, 1561.3133243245993, 1593.0597434560227, 1639.8363258248296, 1691.8061927146396]","[4.1963162, 4.1952138, 4.1944261, 4.1938357, 4.1930876, 4.192575499999999, 4.1923394, 4.1918273, 4.1911187000000005, 4.1906857, 4.1902919, 4.1902132000000005, 4.1898193, 4.1893468, 4.1889529, 4.1889925, 4.1886773, 4.18852, 4.1882052000000005, 4.1882052000000005, 4.187693100000001, 4.1876144, 4.1872602, 4.187023600000001, 4.1869845, 4.1865516000000005, 4.186276, 4.186276, 4.186157700000001, 4.1861968, 4.185842500000001, 4.1857243, 4.1855669, 4.1853309, 4.1854095, 4.184937000000001, 4.1851339, 4.1850157, 4.1848583, 4.184504, 4.1848187, 4.1846614, 4.1841888, 4.1840706, 4.1842284, 4.1839132, 4.1840706, 4.1835985, 4.1839919000000005, 4.1838346, 4.1835985, 4.1835589, 4.1834803, 4.1832047, 4.1830468000000005, 4.1833229, 4.183126000000001, 4.1828895, 4.1827712, 4.1827712, 4.1825747, 4.1825352, 4.1827712, 4.1825352, 4.1825352, 4.1824565, 4.1821413, 4.1821413, 4.1820235, 4.1820626, 4.1818657, 4.18222, 4.1820626, 4.181787, 4.1819053, 4.1817083, 4.1818657, 4.181551, 4.1816297, 4.1817083, 4.181354, 4.181354, 4.181354, 4.1812754, 4.1814327, 4.1812358, 4.181354, 4.1811175, 4.1811175, 4.1811967, 4.1812358, 4.1811175, 4.1809602, 4.1808815, 4.1809211, 4.1807632, 4.1806455, 4.1806455, 4.1808028, 4.1805663, 4.1805272, 4.1807241, 4.1806059, 4.1807241, 4.1805663, 4.1805272, 4.1802907, 4.1801729, 4.1805272, 4.1802516, 4.1805272, 4.1803699, 4.1801333, 4.180015099999999, 4.1802516, 4.179976, 4.1800547, 4.1798973, 4.1800938]",2454.9801132514112
9,0.5,2,25,"[0.0, 25.978556544280195, 55.24033092117645, 85.65692415851629, 126.36947447524028, 181.85014699067142, 248.06891180512548, 312.5765978157207, 373.4123572848473, 429.156567392273, 479.792574133636, 525.3941029770647, 567.717330265122, 606.8644594718105, 643.8702778268321, 677.3377315165576, 708.163782255865, 738.3088213439946, 767.3388840295634, 796.3959029329769, 823.3790730508169, 850.267708561033, 878.2102342916069, 907.2429013928247, 936.7413481127076, 966.1162111273463, 996.7340037916067, 1027.6500410143935, 1059.3599221009042, 1092.2961118581627, 1125.3727364292633, 1160.6477842000502, 1195.9923908890632, 1231.924327635758, 1264.0280669155995, 1292.8902962822774, 1319.9272876425305, 1345.8603543992324, 1370.6491474405836, 1393.9747110052415, 1416.7233465240047, 1438.423822757277, 1461.5817465176895, 1484.3584264475808, 1507.664625103122, 1531.3890222921136, 1558.052627162154, 1590.5851409498339, 1635.7766495710182, 1688.2344872550468]","[4.1963162, 4.1953712, 4.1944261, 4.1937962, 4.1933632, 4.192575499999999, 4.1919851, 4.1915126, 4.1915126, 4.1907644, 4.1903706, 4.1900949, 4.1899376, 4.1892681000000005, 4.1890712, 4.1889925, 4.1884809, 4.1884809, 4.187968700000001, 4.1878114, 4.1875358, 4.1874175000000005, 4.187063200000001, 4.1871815, 4.187023600000001, 4.1865907, 4.1864333, 4.186276, 4.1859608, 4.185842500000001, 4.185882100000001, 4.1858034, 4.1857638, 4.185252200000001, 4.1852913, 4.185212600000001, 4.184976600000001, 4.1847401, 4.184701, 4.184779600000001, 4.184779600000001, 4.184543100000001, 4.1841888, 4.1843858, 4.1841888, 4.1839528, 4.1836376, 4.184031500000001, 4.1839528, 4.1836376, 4.1834407, 4.1836376, 4.1834803, 4.183126000000001, 4.1831651, 4.1832438, 4.1829681, 4.1828504, 4.1827712, 4.1828108, 4.1825352, 4.1828504, 4.1825352, 4.1826138, 4.18222, 4.1822991, 4.1824169, 4.1824565, 4.1820626, 4.1820235, 4.1819444, 4.1821413, 4.1821022, 4.1815901, 4.1818266, 4.181787, 4.1819444, 4.1819053, 4.1817083, 4.1815114, 4.1815114, 4.1815114, 4.1814723, 4.181551, 4.1812754, 4.1810784, 4.1811967, 4.1811571, 4.1812358, 4.1809602, 4.181354, 4.1811175, 4.1808419, 4.1811571, 4.1807241, 4.1807241, 4.1808028, 4.1807632, 4.1805272, 4.1808028, 4.1805272, 4.1805663, 4.1804485, 4.1805663, 4.1801729, 4.1806059, 4.1802516, 4.1802907, 4.1803699, 4.1804876, 4.180212, 4.1803699, 4.1801729, 4.1803303, 4.1800547, 4.180212, 4.1799364, 4.1798182, 4.180212]",2452.679458238118
10,0.5,2,25,"[0.0, 28.37420608871537, 57.68857581144778, 88.17309511837004, 129.10437161471066, 184.2659688285762, 249.1134150197703, 315.1368175454604, 374.8890706729462, 430.7397538209282, 481.6190561111025, 528.2967350784595, 569.5573765067534, 609.1293510316507, 644.8381152664995, 678.6028525132322, 709.2701020698414, 739.9730762201611, 768.5206792505355, 797.4809476143682, 824.6359983779623, 851.9345253252322, 879.344630744717, 908.0033187165252, 937.4488140939679, 966.7181802423024, 997.2060968010521, 1028.3559827818822, 1060.5947625068443, 1092.4718692478452, 1126.6822661275814, 1161.5718510285221, 1197.1380772757714, 1232.4452279995426, 1264.627504018193, 1294.2732737045528, 1321.0296995849205, 1346.6579716375868, 1371.0411048665726, 1394.528162883849, 1417.1677478642862, 1439.9895943512129, 1462.3062485407604, 1484.8009588582756, 1507.641634374714, 1531.8320887681084, 1559.0765115976524, 1590.1710405213435, 1636.5002819699248, 1688.1691102590585]","[4.1962376, 4.1951351, 4.1945443, 4.1937566, 4.1930876, 4.1927333, 4.1921029, 4.1914339, 4.191237, 4.1908827, 4.1905675, 4.1900558, 4.1900163, 4.1895833, 4.1889925, 4.1890321, 4.1886773, 4.1882052000000005, 4.1878505, 4.1876144, 4.1877718, 4.187654, 4.1872206, 4.1871419, 4.1868663, 4.1865516000000005, 4.186276, 4.1864724, 4.186276, 4.186118100000001, 4.1856456, 4.185488200000001, 4.1855669, 4.18537, 4.184976600000001, 4.1848583, 4.1850157, 4.184937000000001, 4.1846218, 4.1847401, 4.184307100000001, 4.184267500000001, 4.1840706, 4.184267500000001, 4.1841102, 4.1839919000000005, 4.1839528, 4.1835194, 4.1835985, 4.1832833, 4.1832047, 4.1832047, 4.1830468000000005, 4.1831651, 4.1828504, 4.1830864000000005, 4.1830468000000005, 4.1828108, 4.1827712, 4.1827321, 4.1827321, 4.1826534, 4.1823778, 4.1826138, 4.18222, 4.1824169, 4.1821413, 4.1822596, 4.1819444, 4.1821022, 4.1819444, 4.1816297, 4.1818657, 4.1817479, 4.1815901, 4.1816688, 4.1814723, 4.1815901, 4.1816297, 4.1813931, 4.1813145, 4.1811571, 4.1811967, 4.1811571, 4.1810389, 4.1810784, 4.1810784, 4.1809602, 4.1810784, 4.1810389, 4.1808419, 4.1808419, 4.1809602, 4.1806059, 4.1807632, 4.1805272, 4.1807241, 4.1808815, 4.180409, 4.1808815, 4.180409, 4.1803699, 4.1802907, 4.1801729, 4.1802907, 4.1803699, 4.1802516, 4.180015099999999, 4.1802907, 4.1802907, 4.1800938, 4.180015099999999, 4.179976, 4.180015099999999, 4.1798973, 4.1798577, 4.1798973, 4.179976, 4.1800547]",2450.233492367893
11,0.5,2,25,"[0.0, 26.937938589321107, 55.83344386090869, 87.48808232694228, 126.77282759412594, 183.14076882068423, 247.88222934824103, 312.65749279757677, 373.63254911815864, 428.75947107910304, 480.4221407562819, 526.539101974903, 567.2054459338159, 607.1882940921449, 642.708969771256, 676.6204940135646, 707.6630865739536, 738.1643687331854, 767.1233564125756, 794.833949561042, 822.8428820154205, 850.1495081087106, 877.780788468364, 906.2228736238209, 934.9239205808093, 964.4717648159502, 995.2248746251859, 1026.0361529316524, 1058.2249059125188, 1090.9583283192342, 1124.0456920296347, 1159.8976953551492, 1195.3124011057685, 1229.9500211757722, 1261.8168504608816, 1291.9535112787307, 1318.4717617798274, 1344.6908596202138, 1369.032720413174, 1392.0182537855708, 1414.7028215367573, 1437.7474851943684, 1459.774348170712, 1482.656192064212, 1505.2421180816523, 1529.6106624409986, 1555.4230247754754, 1587.218143154882, 1633.3283920308404, 1684.5898294966623]","[4.1961584, 4.1951351, 4.1942687, 4.1938748, 4.1930876, 4.1924181, 4.1921821, 4.1917095, 4.1913157, 4.1906462, 4.1906071, 4.1900949, 4.189465, 4.189149899999999, 4.1889925, 4.1889925, 4.18852, 4.1882839, 4.1878114, 4.187968700000001, 4.1877718, 4.1872602, 4.187063200000001, 4.1867089, 4.1869059, 4.1862364, 4.1865120000000005, 4.1859212, 4.1860394, 4.1857638, 4.1856852, 4.1857638, 4.18537, 4.1850944, 4.185212600000001, 4.1850553, 4.184779600000001, 4.1848187, 4.1846614, 4.1844254, 4.1842284, 4.184307100000001, 4.1839528, 4.184031500000001, 4.184031500000001, 4.183677200000001, 4.1835194, 4.1837559, 4.1836376, 4.183362000000001, 4.1834803, 4.1834407, 4.1830077, 4.1829681, 4.1827712, 4.1828108, 4.1828895, 4.1825352, 4.1825747, 4.1826925, 4.1825747, 4.1824169, 4.1823778, 4.1823778, 4.1821022, 4.1820235, 4.1818266, 4.1821022, 4.18222, 4.1817083, 4.1815901, 4.181787, 4.1817479, 4.1816688, 4.1816688, 4.1813931, 4.1815114, 4.1814723, 4.181354, 4.1813931, 4.1811571, 4.181354, 4.1811967, 4.1811571, 4.1808815, 4.1811571, 4.1809602, 4.1806846, 4.1806455, 4.1806846, 4.1808815, 4.1806059, 4.1806059, 4.1806846, 4.1804876, 4.1808028, 4.1806846, 4.1803699, 4.1805272, 4.1803303, 4.180212, 4.1800938, 4.1803303, 4.180212, 4.180409, 4.1803303, 4.1801333, 4.1803303, 4.1800938, 4.180212, 4.1800938, 4.179739499999999, 4.179779099999999, 4.1801333, 4.1797004, 4.1799364, 4.1799364, 4.179739499999999, 4.1795821]",2447.748314735515
